data_type,framework,version,algorithm,category,share_pct,repetitions
DOUBLE,c,AllHints,jacobi-2d,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,jacobi-2d,invalid_code,0.0,5
DOUBLE,c,AllHints,jacobi-2d,slowdown,20.0,5
DOUBLE,c,AllHints,jacobi-2d,speedup_over,60.0,5
DOUBLE,c,AllHints,jacobi-2d,speedup_under,20.0,5
DOUBLE,c,AllHints,lu,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,lu,invalid_code,0.0,5
DOUBLE,c,AllHints,lu,slowdown,20.0,5
DOUBLE,c,AllHints,lu,speedup_over,60.0,5
DOUBLE,c,AllHints,lu,speedup_under,20.0,5
DOUBLE,c,AllHints,ludcmp,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,ludcmp,invalid_code,20.0,5
DOUBLE,c,AllHints,ludcmp,slowdown,20.0,5
DOUBLE,c,AllHints,ludcmp,speedup_over,40.0,5
DOUBLE,c,AllHints,ludcmp,speedup_under,20.0,5
DOUBLE,c,AllHints,mvt,invalid_algorithm,20.0,5
DOUBLE,c,AllHints,mvt,invalid_code,0.0,5
DOUBLE,c,AllHints,mvt,slowdown,40.0,5
DOUBLE,c,AllHints,mvt,speedup_over,40.0,5
DOUBLE,c,AllHints,mvt,speedup_under,0.0,5
DOUBLE,c,AllHints,nussinov,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,nussinov,invalid_code,40.0,5
DOUBLE,c,AllHints,nussinov,slowdown,0.0,5
DOUBLE,c,AllHints,nussinov,speedup_over,60.0,5
DOUBLE,c,AllHints,nussinov,speedup_under,0.0,5
DOUBLE,c,AllHints,seidel-2d,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,seidel-2d,invalid_code,0.0,5
DOUBLE,c,AllHints,seidel-2d,slowdown,60.0,5
DOUBLE,c,AllHints,seidel-2d,speedup_over,40.0,5
DOUBLE,c,AllHints,seidel-2d,speedup_under,0.0,5
DOUBLE,c,AllHints,symm,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,symm,invalid_code,0.0,5
DOUBLE,c,AllHints,symm,slowdown,40.0,5
DOUBLE,c,AllHints,symm,speedup_over,60.0,5
DOUBLE,c,AllHints,symm,speedup_under,0.0,5
DOUBLE,c,AllHints,syr2k,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,syr2k,invalid_code,0.0,5
DOUBLE,c,AllHints,syr2k,slowdown,0.0,5
DOUBLE,c,AllHints,syr2k,speedup_over,100.0,5
DOUBLE,c,AllHints,syr2k,speedup_under,0.0,5
DOUBLE,c,AllHints,syrk,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,syrk,invalid_code,0.0,5
DOUBLE,c,AllHints,syrk,slowdown,0.0,5
DOUBLE,c,AllHints,syrk,speedup_over,100.0,5
DOUBLE,c,AllHints,syrk,speedup_under,0.0,5
DOUBLE,c,AllHints,trisolv,invalid_algorithm,40.0,5
DOUBLE,c,AllHints,trisolv,invalid_code,0.0,5
DOUBLE,c,AllHints,trisolv,slowdown,20.0,5
DOUBLE,c,AllHints,trisolv,speedup_over,0.0,5
DOUBLE,c,AllHints,trisolv,speedup_under,40.0,5
DOUBLE,c,AllHints,trmm,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,trmm,invalid_code,0.0,5
DOUBLE,c,AllHints,trmm,slowdown,0.0,5
DOUBLE,c,AllHints,trmm,speedup_over,100.0,5
DOUBLE,c,AllHints,trmm,speedup_under,0.0,5
DOUBLE,c,ChooseHints,3mm,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,3mm,invalid_code,20.0,5
DOUBLE,c,ChooseHints,3mm,slowdown,0.0,5
DOUBLE,c,ChooseHints,3mm,speedup_over,80.0,5
DOUBLE,c,ChooseHints,3mm,speedup_under,0.0,5
DOUBLE,c,ChooseHints,adi,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,adi,invalid_code,20.0,5
DOUBLE,c,ChooseHints,adi,slowdown,20.0,5
DOUBLE,c,ChooseHints,adi,speedup_over,60.0,5
DOUBLE,c,ChooseHints,adi,speedup_under,0.0,5
DOUBLE,c,ChooseHints,atax,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,atax,invalid_code,0.0,5
DOUBLE,c,ChooseHints,atax,slowdown,0.0,5
DOUBLE,c,ChooseHints,atax,speedup_over,100.0,5
DOUBLE,c,ChooseHints,atax,speedup_under,0.0,5
DOUBLE,c,ChooseHints,bicg,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,bicg,invalid_code,0.0,5
DOUBLE,c,ChooseHints,bicg,slowdown,0.0,5
DOUBLE,c,ChooseHints,bicg,speedup_over,100.0,5
DOUBLE,c,ChooseHints,bicg,speedup_under,0.0,5
DOUBLE,c,ChooseHints,cholesky,invalid_algorithm,20.0,5
DOUBLE,c,ChooseHints,cholesky,invalid_code,20.0,5
DOUBLE,c,ChooseHints,cholesky,slowdown,0.0,5
DOUBLE,c,ChooseHints,cholesky,speedup_over,0.0,5
DOUBLE,c,ChooseHints,cholesky,speedup_under,60.0,5
DOUBLE,c,ChooseHints,correlation,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,correlation,invalid_code,20.0,5
DOUBLE,c,ChooseHints,correlation,slowdown,0.0,5
DOUBLE,c,ChooseHints,correlation,speedup_over,80.0,5
DOUBLE,c,ChooseHints,correlation,speedup_under,0.0,5
DOUBLE,c,ChooseHints,covariance,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,covariance,invalid_code,0.0,5
DOUBLE,c,ChooseHints,covariance,slowdown,0.0,5
DOUBLE,c,ChooseHints,covariance,speedup_over,100.0,5
DOUBLE,c,ChooseHints,covariance,speedup_under,0.0,5
DOUBLE,c,ChooseHints,deriche,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,deriche,invalid_code,0.0,5
DOUBLE,c,ChooseHints,deriche,slowdown,0.0,5
DOUBLE,c,ChooseHints,deriche,speedup_over,100.0,5
DOUBLE,c,ChooseHints,deriche,speedup_under,0.0,5
DOUBLE,c,ChooseHints,doitgen,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,doitgen,invalid_code,0.0,5
DOUBLE,c,ChooseHints,doitgen,slowdown,0.0,5
DOUBLE,c,ChooseHints,doitgen,speedup_over,100.0,5
DOUBLE,c,ChooseHints,doitgen,speedup_under,0.0,5
DOUBLE,c,ChooseHints,durbin,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,durbin,invalid_code,0.0,5
DOUBLE,c,ChooseHints,durbin,slowdown,60.0,5
DOUBLE,c,ChooseHints,durbin,speedup_over,0.0,5
DOUBLE,c,ChooseHints,durbin,speedup_under,40.0,5
DOUBLE,c,ChooseHints,fdtd-2d,invalid_algorithm,20.0,5
DOUBLE,c,ChooseHints,fdtd-2d,invalid_code,20.0,5
DOUBLE,c,ChooseHints,fdtd-2d,slowdown,60.0,5
DOUBLE,c,ChooseHints,fdtd-2d,speedup_over,0.0,5
DOUBLE,c,ChooseHints,fdtd-2d,speedup_under,0.0,5
DOUBLE,c,ChooseHints,gemver,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,gemver,invalid_code,0.0,5
DOUBLE,c,ChooseHints,gemver,slowdown,0.0,5
DOUBLE,c,ChooseHints,gemver,speedup_over,100.0,5
DOUBLE,c,ChooseHints,gemver,speedup_under,0.0,5
DOUBLE,c,ChooseHints,gesummv,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,gesummv,invalid_code,0.0,5
DOUBLE,c,ChooseHints,gesummv,slowdown,0.0,5
DOUBLE,c,ChooseHints,gesummv,speedup_over,100.0,5
DOUBLE,c,ChooseHints,gesummv,speedup_under,0.0,5
DOUBLE,c,ChooseHints,gramschmidt,invalid_algorithm,40.0,5
DOUBLE,c,ChooseHints,gramschmidt,invalid_code,20.0,5
DOUBLE,c,ChooseHints,gramschmidt,slowdown,0.0,5
DOUBLE,c,ChooseHints,gramschmidt,speedup_over,40.0,5
DOUBLE,c,ChooseHints,gramschmidt,speedup_under,0.0,5
DOUBLE,c,ChooseHints,jacobi-1d,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,jacobi-1d,invalid_code,20.0,5
DOUBLE,c,ChooseHints,jacobi-1d,slowdown,80.0,5
DOUBLE,c,ChooseHints,jacobi-1d,speedup_over,0.0,5
DOUBLE,c,ChooseHints,jacobi-1d,speedup_under,0.0,5
DOUBLE,c,ChooseHints,jacobi-2d,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,jacobi-2d,invalid_code,0.0,5
DOUBLE,c,ChooseHints,jacobi-2d,slowdown,0.0,5
DOUBLE,c,ChooseHints,jacobi-2d,speedup_over,40.0,5
DOUBLE,c,ChooseHints,jacobi-2d,speedup_under,60.0,5
DOUBLE,c,ChooseHints,lu,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,lu,invalid_code,0.0,5
DOUBLE,c,ChooseHints,lu,slowdown,20.0,5
DOUBLE,c,ChooseHints,lu,speedup_over,80.0,5
DOUBLE,c,ChooseHints,lu,speedup_under,0.0,5
DOUBLE,c,ChooseHints,ludcmp,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,ludcmp,invalid_code,0.0,5
DOUBLE,c,ChooseHints,ludcmp,slowdown,60.0,5
DOUBLE,c,ChooseHints,ludcmp,speedup_over,20.0,5
DOUBLE,c,ChooseHints,ludcmp,speedup_under,20.0,5
DOUBLE,c,ChooseHints,mvt,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,mvt,invalid_code,20.0,5
DOUBLE,c,ChooseHints,mvt,slowdown,0.0,5
DOUBLE,c,ChooseHints,mvt,speedup_over,60.0,5
DOUBLE,c,ChooseHints,mvt,speedup_under,20.0,5
DOUBLE,c,ChooseHints,nussinov,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,nussinov,invalid_code,20.0,5
DOUBLE,c,ChooseHints,nussinov,slowdown,0.0,5
DOUBLE,c,ChooseHints,nussinov,speedup_over,80.0,5
DOUBLE,c,ChooseHints,nussinov,speedup_under,0.0,5
DOUBLE,c,ChooseHints,seidel-2d,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,seidel-2d,invalid_code,0.0,5
DOUBLE,c,ChooseHints,seidel-2d,slowdown,20.0,5
DOUBLE,c,ChooseHints,seidel-2d,speedup_over,60.0,5
DOUBLE,c,ChooseHints,seidel-2d,speedup_under,20.0,5
DOUBLE,c,ChooseHints,symm,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,symm,invalid_code,0.0,5
DOUBLE,c,ChooseHints,symm,slowdown,20.0,5
DOUBLE,c,ChooseHints,symm,speedup_over,80.0,5
DOUBLE,c,ChooseHints,symm,speedup_under,0.0,5
DOUBLE,c,ChooseHints,syr2k,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,syr2k,invalid_code,20.0,5
DOUBLE,c,ChooseHints,syr2k,slowdown,0.0,5
DOUBLE,c,ChooseHints,syr2k,speedup_over,80.0,5
DOUBLE,c,ChooseHints,syr2k,speedup_under,0.0,5
DOUBLE,c,ChooseHints,syrk,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,syrk,invalid_code,0.0,5
DOUBLE,c,ChooseHints,syrk,slowdown,0.0,5
DOUBLE,c,ChooseHints,syrk,speedup_over,100.0,5
DOUBLE,c,ChooseHints,syrk,speedup_under,0.0,5
DOUBLE,c,ChooseHints,trisolv,invalid_algorithm,60.0,5
DOUBLE,c,ChooseHints,trisolv,invalid_code,0.0,5
DOUBLE,c,ChooseHints,trisolv,slowdown,0.0,5
DOUBLE,c,ChooseHints,trisolv,speedup_over,0.0,5
DOUBLE,c,ChooseHints,trisolv,speedup_under,40.0,5
DOUBLE,c,ChooseHints,trmm,invalid_algorithm,0.0,5
DOUBLE,c,ChooseHints,trmm,invalid_code,0.0,5
DOUBLE,c,ChooseHints,trmm,slowdown,0.0,5
DOUBLE,c,ChooseHints,trmm,speedup_over,100.0,5
DOUBLE,c,ChooseHints,trmm,speedup_under,0.0,5
DOUBLE,c,FromPlan,3mm,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,3mm,invalid_code,0.0,5
DOUBLE,c,FromPlan,3mm,slowdown,0.0,5
DOUBLE,c,FromPlan,3mm,speedup_over,100.0,5
DOUBLE,c,FromPlan,3mm,speedup_under,0.0,5
DOUBLE,c,FromPlan,adi,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,adi,invalid_code,0.0,5
DOUBLE,c,FromPlan,adi,slowdown,0.0,5
DOUBLE,c,FromPlan,adi,speedup_over,100.0,5
DOUBLE,c,FromPlan,adi,speedup_under,0.0,5
DOUBLE,c,FromPlan,atax,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,atax,invalid_code,20.0,5
DOUBLE,c,FromPlan,atax,slowdown,0.0,5
DOUBLE,c,FromPlan,atax,speedup_over,40.0,5
DOUBLE,c,FromPlan,atax,speedup_under,40.0,5
DOUBLE,c,FromPlan,bicg,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,bicg,invalid_code,0.0,5
DOUBLE,c,FromPlan,bicg,slowdown,0.0,5
DOUBLE,c,FromPlan,bicg,speedup_over,100.0,5
DOUBLE,c,FromPlan,bicg,speedup_under,0.0,5
DOUBLE,c,FromPlan,cholesky,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,cholesky,invalid_code,0.0,5
DOUBLE,c,FromPlan,cholesky,slowdown,0.0,5
DOUBLE,c,FromPlan,cholesky,speedup_over,60.0,5
DOUBLE,c,FromPlan,cholesky,speedup_under,40.0,5
DOUBLE,c,FromPlan,correlation,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,correlation,invalid_code,0.0,5
DOUBLE,c,FromPlan,correlation,slowdown,0.0,5
DOUBLE,c,FromPlan,correlation,speedup_over,100.0,5
DOUBLE,c,FromPlan,correlation,speedup_under,0.0,5
DOUBLE,c,FromPlan,covariance,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,covariance,invalid_code,0.0,5
DOUBLE,c,FromPlan,covariance,slowdown,0.0,5
DOUBLE,c,FromPlan,covariance,speedup_over,100.0,5
DOUBLE,c,FromPlan,covariance,speedup_under,0.0,5
DOUBLE,c,FromPlan,deriche,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,deriche,invalid_code,0.0,5
DOUBLE,c,FromPlan,deriche,slowdown,0.0,5
DOUBLE,c,FromPlan,deriche,speedup_over,100.0,5
DOUBLE,c,FromPlan,deriche,speedup_under,0.0,5
DOUBLE,c,FromPlan,doitgen,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,doitgen,invalid_code,0.0,5
DOUBLE,c,FromPlan,doitgen,slowdown,0.0,5
DOUBLE,c,FromPlan,doitgen,speedup_over,100.0,5
DOUBLE,c,FromPlan,doitgen,speedup_under,0.0,5
DOUBLE,c,FromPlan,durbin,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,durbin,invalid_code,0.0,5
DOUBLE,c,FromPlan,durbin,slowdown,60.0,5
DOUBLE,c,FromPlan,durbin,speedup_over,0.0,5
DOUBLE,c,FromPlan,durbin,speedup_under,40.0,5
DOUBLE,c,FromPlan,fdtd-2d,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,fdtd-2d,invalid_code,20.0,5
DOUBLE,c,FromPlan,fdtd-2d,slowdown,60.0,5
DOUBLE,c,FromPlan,fdtd-2d,speedup_over,0.0,5
DOUBLE,c,FromPlan,fdtd-2d,speedup_under,20.0,5
DOUBLE,c,FromPlan,gemver,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,gemver,invalid_code,20.0,5
DOUBLE,c,FromPlan,gemver,slowdown,0.0,5
DOUBLE,c,FromPlan,gemver,speedup_over,80.0,5
DOUBLE,c,FromPlan,gemver,speedup_under,0.0,5
DOUBLE,c,FromPlan,gesummv,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,gesummv,invalid_code,0.0,5
DOUBLE,c,FromPlan,gesummv,slowdown,0.0,5
DOUBLE,c,FromPlan,gesummv,speedup_over,100.0,5
DOUBLE,c,FromPlan,gesummv,speedup_under,0.0,5
DOUBLE,c,FromPlan,gramschmidt,invalid_algorithm,100.0,5
DOUBLE,c,FromPlan,gramschmidt,invalid_code,0.0,5
DOUBLE,c,FromPlan,gramschmidt,slowdown,0.0,5
DOUBLE,c,FromPlan,gramschmidt,speedup_over,0.0,5
DOUBLE,c,FromPlan,gramschmidt,speedup_under,0.0,5
DOUBLE,c,FromPlan,jacobi-1d,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,jacobi-1d,invalid_code,20.0,5
DOUBLE,c,FromPlan,jacobi-1d,slowdown,80.0,5
DOUBLE,c,FromPlan,jacobi-1d,speedup_over,0.0,5
DOUBLE,c,FromPlan,jacobi-1d,speedup_under,0.0,5
DOUBLE,c,FromPlan,jacobi-2d,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,jacobi-2d,invalid_code,0.0,5
DOUBLE,c,FromPlan,jacobi-2d,slowdown,80.0,5
DOUBLE,c,FromPlan,jacobi-2d,speedup_over,20.0,5
DOUBLE,c,FromPlan,jacobi-2d,speedup_under,0.0,5
DOUBLE,c,FromPlan,lu,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,lu,invalid_code,0.0,5
DOUBLE,c,FromPlan,lu,slowdown,20.0,5
DOUBLE,c,FromPlan,lu,speedup_over,60.0,5
DOUBLE,c,FromPlan,lu,speedup_under,20.0,5
DOUBLE,c,FromPlan,ludcmp,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,ludcmp,invalid_code,20.0,5
DOUBLE,c,FromPlan,ludcmp,slowdown,0.0,5
DOUBLE,c,FromPlan,ludcmp,speedup_over,80.0,5
DOUBLE,c,FromPlan,ludcmp,speedup_under,0.0,5
DOUBLE,c,FromPlan,mvt,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,mvt,invalid_code,0.0,5
DOUBLE,c,FromPlan,mvt,slowdown,0.0,5
DOUBLE,c,FromPlan,mvt,speedup_over,100.0,5
DOUBLE,c,FromPlan,mvt,speedup_under,0.0,5
DOUBLE,c,FromPlan,nussinov,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,nussinov,invalid_code,20.0,5
DOUBLE,c,FromPlan,nussinov,slowdown,0.0,5
DOUBLE,c,FromPlan,nussinov,speedup_over,80.0,5
DOUBLE,c,FromPlan,nussinov,speedup_under,0.0,5
DOUBLE,c,FromPlan,seidel-2d,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,seidel-2d,invalid_code,0.0,5
DOUBLE,c,FromPlan,seidel-2d,slowdown,0.0,5
DOUBLE,c,FromPlan,seidel-2d,speedup_over,100.0,5
DOUBLE,c,FromPlan,seidel-2d,speedup_under,0.0,5
DOUBLE,c,FromPlan,symm,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,symm,invalid_code,0.0,5
DOUBLE,c,FromPlan,symm,slowdown,0.0,5
DOUBLE,c,FromPlan,symm,speedup_over,100.0,5
DOUBLE,c,FromPlan,symm,speedup_under,0.0,5
DOUBLE,c,FromPlan,syr2k,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,syr2k,invalid_code,20.0,5
DOUBLE,c,FromPlan,syr2k,slowdown,40.0,5
DOUBLE,c,FromPlan,syr2k,speedup_over,20.0,5
DOUBLE,c,FromPlan,syr2k,speedup_under,20.0,5
DOUBLE,c,FromPlan,syrk,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,syrk,invalid_code,0.0,5
DOUBLE,c,FromPlan,syrk,slowdown,40.0,5
DOUBLE,c,FromPlan,syrk,speedup_over,60.0,5
DOUBLE,c,FromPlan,syrk,speedup_under,0.0,5
DOUBLE,c,FromPlan,trisolv,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,trisolv,invalid_code,0.0,5
DOUBLE,c,FromPlan,trisolv,slowdown,20.0,5
DOUBLE,c,FromPlan,trisolv,speedup_over,60.0,5
DOUBLE,c,FromPlan,trisolv,speedup_under,20.0,5
DOUBLE,c,FromPlan,trmm,invalid_algorithm,0.0,5
DOUBLE,c,FromPlan,trmm,invalid_code,0.0,5
DOUBLE,c,FromPlan,trmm,slowdown,0.0,5
DOUBLE,c,FromPlan,trmm,speedup_over,100.0,5
DOUBLE,c,FromPlan,trmm,speedup_under,0.0,5
DOUBLE,c,Naive,3mm,invalid_algorithm,0.0,5
DOUBLE,c,Naive,3mm,invalid_code,0.0,5
DOUBLE,c,Naive,3mm,slowdown,0.0,5
DOUBLE,c,Naive,3mm,speedup_over,100.0,5
DOUBLE,c,Naive,3mm,speedup_under,0.0,5
DOUBLE,c,Naive,adi,invalid_algorithm,0.0,5
DOUBLE,c,Naive,adi,invalid_code,0.0,5
DOUBLE,c,Naive,adi,slowdown,20.0,5
DOUBLE,c,Naive,adi,speedup_over,60.0,5
DOUBLE,c,Naive,adi,speedup_under,20.0,5
DOUBLE,c,Naive,atax,invalid_algorithm,0.0,5
DOUBLE,c,Naive,atax,invalid_code,20.0,5
DOUBLE,c,Naive,atax,slowdown,0.0,5
DOUBLE,c,Naive,atax,speedup_over,0.0,5
DOUBLE,c,Naive,atax,speedup_under,80.0,5
DOUBLE,c,Naive,bicg,invalid_algorithm,0.0,5
DOUBLE,c,Naive,bicg,invalid_code,0.0,5
DOUBLE,c,Naive,bicg,slowdown,0.0,5
DOUBLE,c,Naive,bicg,speedup_over,100.0,5
DOUBLE,c,Naive,bicg,speedup_under,0.0,5
DOUBLE,c,Naive,cholesky,invalid_algorithm,0.0,5
DOUBLE,c,Naive,cholesky,invalid_code,0.0,5
DOUBLE,c,Naive,cholesky,slowdown,0.0,5
DOUBLE,c,Naive,cholesky,speedup_over,0.0,5
DOUBLE,c,Naive,cholesky,speedup_under,100.0,5
DOUBLE,c,Naive,correlation,invalid_algorithm,0.0,5
DOUBLE,c,Naive,correlation,invalid_code,0.0,5
DOUBLE,c,Naive,correlation,slowdown,0.0,5
DOUBLE,c,Naive,correlation,speedup_over,100.0,5
DOUBLE,c,Naive,correlation,speedup_under,0.0,5
DOUBLE,c,Naive,covariance,invalid_algorithm,0.0,5
DOUBLE,c,Naive,covariance,invalid_code,0.0,5
DOUBLE,c,Naive,covariance,slowdown,0.0,5
DOUBLE,c,Naive,covariance,speedup_over,80.0,5
DOUBLE,c,Naive,covariance,speedup_under,20.0,5
DOUBLE,c,Naive,deriche,invalid_algorithm,0.0,5
DOUBLE,c,Naive,deriche,invalid_code,0.0,5
DOUBLE,c,Naive,deriche,slowdown,60.0,5
DOUBLE,c,Naive,deriche,speedup_over,40.0,5
DOUBLE,c,Naive,deriche,speedup_under,0.0,5
DOUBLE,c,Naive,doitgen,invalid_algorithm,0.0,5
DOUBLE,c,Naive,doitgen,invalid_code,0.0,5
DOUBLE,c,Naive,doitgen,slowdown,0.0,5
DOUBLE,c,Naive,doitgen,speedup_over,100.0,5
DOUBLE,c,Naive,doitgen,speedup_under,0.0,5
DOUBLE,c,Naive,durbin,invalid_algorithm,0.0,5
