data_type,version,algorithm,category,share_pct,repetitions
DOUBLE,AllHints,symm,invalid_algorithm,10.0,20
DOUBLE,AllHints,symm,invalid_code,30.0,20
DOUBLE,AllHints,symm,slowdown,10.0,20
DOUBLE,AllHints,symm,speedup_over,50.0,20
DOUBLE,AllHints,symm,speedup_under,0.0,20
DOUBLE,AllHints,syr2k,invalid_algorithm,20.0,20
DOUBLE,AllHints,syr2k,invalid_code,5.0,20
DOUBLE,AllHints,syr2k,slowdown,75.0,20
DOUBLE,AllHints,syr2k,speedup_over,0.0,20
DOUBLE,AllHints,syr2k,speedup_under,0.0,20
DOUBLE,AllHints,syrk,invalid_algorithm,10.0,20
DOUBLE,AllHints,syrk,invalid_code,15.0,20
DOUBLE,AllHints,syrk,slowdown,75.0,20
DOUBLE,AllHints,syrk,speedup_over,0.0,20
DOUBLE,AllHints,syrk,speedup_under,0.0,20
DOUBLE,AllHints,trisolv,invalid_algorithm,30.0,20
DOUBLE,AllHints,trisolv,invalid_code,5.0,20
DOUBLE,AllHints,trisolv,slowdown,0.0,20
DOUBLE,AllHints,trisolv,speedup_over,0.0,20
DOUBLE,AllHints,trisolv,speedup_under,65.0,20
DOUBLE,AllHints,trmm,invalid_algorithm,15.0,20
DOUBLE,AllHints,trmm,invalid_code,20.0,20
DOUBLE,AllHints,trmm,slowdown,45.0,20
DOUBLE,AllHints,trmm,speedup_over,15.0,20
DOUBLE,AllHints,trmm,speedup_under,5.0,20
DOUBLE,ChooseHints,3mm,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,3mm,invalid_code,15.0,20
DOUBLE,ChooseHints,3mm,slowdown,65.0,20
DOUBLE,ChooseHints,3mm,speedup_over,0.0,20
DOUBLE,ChooseHints,3mm,speedup_under,0.0,20
DOUBLE,ChooseHints,adi,invalid_algorithm,10.0,20
DOUBLE,ChooseHints,adi,invalid_code,10.0,20
DOUBLE,ChooseHints,adi,slowdown,75.0,20
DOUBLE,ChooseHints,adi,speedup_over,0.0,20
DOUBLE,ChooseHints,adi,speedup_under,5.0,20
DOUBLE,ChooseHints,atax,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,atax,invalid_code,5.0,20
DOUBLE,ChooseHints,atax,slowdown,40.0,20
DOUBLE,ChooseHints,atax,speedup_over,35.0,20
DOUBLE,ChooseHints,atax,speedup_under,0.0,20
DOUBLE,ChooseHints,bicg,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,bicg,invalid_code,10.0,20
DOUBLE,ChooseHints,bicg,slowdown,55.00000000000001,20
DOUBLE,ChooseHints,bicg,speedup_over,15.0,20
DOUBLE,ChooseHints,bicg,speedup_under,0.0,20
DOUBLE,ChooseHints,cholesky,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,cholesky,invalid_code,40.0,20
DOUBLE,ChooseHints,cholesky,slowdown,0.0,20
DOUBLE,ChooseHints,cholesky,speedup_over,0.0,20
DOUBLE,ChooseHints,cholesky,speedup_under,40.0,20
DOUBLE,ChooseHints,correlation,invalid_algorithm,15.0,20
DOUBLE,ChooseHints,correlation,invalid_code,15.0,20
DOUBLE,ChooseHints,correlation,slowdown,70.0,20
DOUBLE,ChooseHints,correlation,speedup_over,0.0,20
DOUBLE,ChooseHints,correlation,speedup_under,0.0,20
DOUBLE,ChooseHints,covariance,invalid_algorithm,10.0,20
DOUBLE,ChooseHints,covariance,invalid_code,15.0,20
DOUBLE,ChooseHints,covariance,slowdown,75.0,20
DOUBLE,ChooseHints,covariance,speedup_over,0.0,20
DOUBLE,ChooseHints,covariance,speedup_under,0.0,20
DOUBLE,ChooseHints,deriche,invalid_algorithm,5.0,20
DOUBLE,ChooseHints,deriche,invalid_code,30.0,20
DOUBLE,ChooseHints,deriche,slowdown,20.0,20
DOUBLE,ChooseHints,deriche,speedup_over,40.0,20
DOUBLE,ChooseHints,deriche,speedup_under,5.0,20
DOUBLE,ChooseHints,doitgen,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,doitgen,invalid_code,10.0,20
DOUBLE,ChooseHints,doitgen,slowdown,0.0,20
DOUBLE,ChooseHints,doitgen,speedup_over,70.0,20
DOUBLE,ChooseHints,doitgen,speedup_under,0.0,20
DOUBLE,ChooseHints,durbin,invalid_algorithm,15.0,20
DOUBLE,ChooseHints,durbin,invalid_code,15.0,20
DOUBLE,ChooseHints,durbin,slowdown,50.0,20
DOUBLE,ChooseHints,durbin,speedup_over,0.0,20
DOUBLE,ChooseHints,durbin,speedup_under,20.0,20
DOUBLE,ChooseHints,fdtd-2d,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,fdtd-2d,invalid_code,40.0,20
DOUBLE,ChooseHints,fdtd-2d,slowdown,5.0,20
DOUBLE,ChooseHints,fdtd-2d,speedup_over,35.0,20
DOUBLE,ChooseHints,fdtd-2d,speedup_under,0.0,20
DOUBLE,ChooseHints,gemver,invalid_algorithm,0.0,20
DOUBLE,ChooseHints,gemver,invalid_code,40.0,20
DOUBLE,ChooseHints,gemver,slowdown,20.0,20
DOUBLE,ChooseHints,gemver,speedup_over,40.0,20
DOUBLE,ChooseHints,gemver,speedup_under,0.0,20
DOUBLE,ChooseHints,gesummv,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,gesummv,invalid_code,10.0,20
DOUBLE,ChooseHints,gesummv,slowdown,25.0,20
DOUBLE,ChooseHints,gesummv,speedup_over,45.0,20
DOUBLE,ChooseHints,gesummv,speedup_under,0.0,20
DOUBLE,ChooseHints,gramschmidt,invalid_algorithm,55.00000000000001,20
DOUBLE,ChooseHints,gramschmidt,invalid_code,35.0,20
DOUBLE,ChooseHints,gramschmidt,slowdown,0.0,20
DOUBLE,ChooseHints,gramschmidt,speedup_over,10.0,20
DOUBLE,ChooseHints,gramschmidt,speedup_under,0.0,20
DOUBLE,ChooseHints,jacobi-1d,invalid_algorithm,10.0,20
DOUBLE,ChooseHints,jacobi-1d,invalid_code,20.0,20
DOUBLE,ChooseHints,jacobi-1d,slowdown,70.0,20
DOUBLE,ChooseHints,jacobi-1d,speedup_over,0.0,20
DOUBLE,ChooseHints,jacobi-1d,speedup_under,0.0,20
DOUBLE,ChooseHints,jacobi-2d,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,jacobi-2d,invalid_code,15.0,20
DOUBLE,ChooseHints,jacobi-2d,slowdown,5.0,20
DOUBLE,ChooseHints,jacobi-2d,speedup_over,55.00000000000001,20
DOUBLE,ChooseHints,jacobi-2d,speedup_under,5.0,20
DOUBLE,ChooseHints,lu,invalid_algorithm,15.0,20
DOUBLE,ChooseHints,lu,invalid_code,10.0,20
DOUBLE,ChooseHints,lu,slowdown,75.0,20
DOUBLE,ChooseHints,lu,speedup_over,0.0,20
DOUBLE,ChooseHints,lu,speedup_under,0.0,20
DOUBLE,ChooseHints,ludcmp,invalid_algorithm,15.0,20
DOUBLE,ChooseHints,ludcmp,invalid_code,15.0,20
DOUBLE,ChooseHints,ludcmp,slowdown,50.0,20
DOUBLE,ChooseHints,ludcmp,speedup_over,5.0,20
DOUBLE,ChooseHints,ludcmp,speedup_under,15.0,20
DOUBLE,ChooseHints,mvt,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,mvt,invalid_code,5.0,20
DOUBLE,ChooseHints,mvt,slowdown,50.0,20
DOUBLE,ChooseHints,mvt,speedup_over,15.0,20
DOUBLE,ChooseHints,mvt,speedup_under,10.0,20
DOUBLE,ChooseHints,nussinov,invalid_algorithm,15.0,20
DOUBLE,ChooseHints,nussinov,invalid_code,35.0,20
DOUBLE,ChooseHints,nussinov,slowdown,10.0,20
DOUBLE,ChooseHints,nussinov,speedup_over,40.0,20
DOUBLE,ChooseHints,nussinov,speedup_under,0.0,20
DOUBLE,ChooseHints,seidel-2d,invalid_algorithm,5.0,20
DOUBLE,ChooseHints,seidel-2d,invalid_code,40.0,20
DOUBLE,ChooseHints,seidel-2d,slowdown,10.0,20
DOUBLE,ChooseHints,seidel-2d,speedup_over,30.0,20
DOUBLE,ChooseHints,seidel-2d,speedup_under,15.0,20
DOUBLE,ChooseHints,symm,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,symm,invalid_code,20.0,20
DOUBLE,ChooseHints,symm,slowdown,0.0,20
DOUBLE,ChooseHints,symm,speedup_over,55.00000000000001,20
DOUBLE,ChooseHints,symm,speedup_under,5.0,20
DOUBLE,ChooseHints,syr2k,invalid_algorithm,25.0,20
DOUBLE,ChooseHints,syr2k,invalid_code,10.0,20
DOUBLE,ChooseHints,syr2k,slowdown,65.0,20
DOUBLE,ChooseHints,syr2k,speedup_over,0.0,20
DOUBLE,ChooseHints,syr2k,speedup_under,0.0,20
DOUBLE,ChooseHints,syrk,invalid_algorithm,20.0,20
DOUBLE,ChooseHints,syrk,invalid_code,15.0,20
DOUBLE,ChooseHints,syrk,slowdown,60.0,20
DOUBLE,ChooseHints,syrk,speedup_over,5.0,20
DOUBLE,ChooseHints,syrk,speedup_under,0.0,20
DOUBLE,ChooseHints,trisolv,invalid_algorithm,30.0,20
DOUBLE,ChooseHints,trisolv,invalid_code,10.0,20
DOUBLE,ChooseHints,trisolv,slowdown,5.0,20
DOUBLE,ChooseHints,trisolv,speedup_over,0.0,20
DOUBLE,ChooseHints,trisolv,speedup_under,55.00000000000001,20
DOUBLE,ChooseHints,trmm,invalid_algorithm,0.0,20
DOUBLE,ChooseHints,trmm,invalid_code,40.0,20
DOUBLE,ChooseHints,trmm,slowdown,55.00000000000001,20
DOUBLE,ChooseHints,trmm,speedup_over,5.0,20
DOUBLE,ChooseHints,trmm,speedup_under,0.0,20
DOUBLE,FromPlan,3mm,invalid_algorithm,25.0,20
DOUBLE,FromPlan,3mm,invalid_code,10.0,20
DOUBLE,FromPlan,3mm,slowdown,65.0,20
DOUBLE,FromPlan,3mm,speedup_over,0.0,20
DOUBLE,FromPlan,3mm,speedup_under,0.0,20
DOUBLE,FromPlan,adi,invalid_algorithm,10.0,20
DOUBLE,FromPlan,adi,invalid_code,25.0,20
DOUBLE,FromPlan,adi,slowdown,55.00000000000001,20
DOUBLE,FromPlan,adi,speedup_over,5.0,20
DOUBLE,FromPlan,adi,speedup_under,5.0,20
DOUBLE,FromPlan,atax,invalid_algorithm,25.0,20
DOUBLE,FromPlan,atax,invalid_code,30.0,20
DOUBLE,FromPlan,atax,slowdown,45.0,20
DOUBLE,FromPlan,atax,speedup_over,0.0,20
DOUBLE,FromPlan,atax,speedup_under,0.0,20
DOUBLE,FromPlan,bicg,invalid_algorithm,20.0,20
DOUBLE,FromPlan,bicg,invalid_code,30.0,20
DOUBLE,FromPlan,bicg,slowdown,45.0,20
DOUBLE,FromPlan,bicg,speedup_over,5.0,20
DOUBLE,FromPlan,bicg,speedup_under,0.0,20
DOUBLE,FromPlan,cholesky,invalid_algorithm,20.0,20
DOUBLE,FromPlan,cholesky,invalid_code,35.0,20
DOUBLE,FromPlan,cholesky,slowdown,0.0,20
DOUBLE,FromPlan,cholesky,speedup_over,15.0,20
DOUBLE,FromPlan,cholesky,speedup_under,30.0,20
DOUBLE,FromPlan,correlation,invalid_algorithm,20.0,20
DOUBLE,FromPlan,correlation,invalid_code,15.0,20
DOUBLE,FromPlan,correlation,slowdown,65.0,20
DOUBLE,FromPlan,correlation,speedup_over,0.0,20
DOUBLE,FromPlan,correlation,speedup_under,0.0,20
DOUBLE,FromPlan,covariance,invalid_algorithm,25.0,20
DOUBLE,FromPlan,covariance,invalid_code,10.0,20
DOUBLE,FromPlan,covariance,slowdown,65.0,20
DOUBLE,FromPlan,covariance,speedup_over,0.0,20
DOUBLE,FromPlan,covariance,speedup_under,0.0,20
DOUBLE,FromPlan,deriche,invalid_algorithm,0.0,20
DOUBLE,FromPlan,deriche,invalid_code,30.0,20
DOUBLE,FromPlan,deriche,slowdown,25.0,20
DOUBLE,FromPlan,deriche,speedup_over,40.0,20
DOUBLE,FromPlan,deriche,speedup_under,5.0,20
DOUBLE,FromPlan,doitgen,invalid_algorithm,20.0,20
DOUBLE,FromPlan,doitgen,invalid_code,15.0,20
DOUBLE,FromPlan,doitgen,slowdown,0.0,20
DOUBLE,FromPlan,doitgen,speedup_over,65.0,20
DOUBLE,FromPlan,doitgen,speedup_under,0.0,20
DOUBLE,FromPlan,durbin,invalid_algorithm,5.0,20
DOUBLE,FromPlan,durbin,invalid_code,30.0,20
DOUBLE,FromPlan,durbin,slowdown,15.0,20
DOUBLE,FromPlan,durbin,speedup_over,0.0,20
DOUBLE,FromPlan,durbin,speedup_under,50.0,20
DOUBLE,FromPlan,fdtd-2d,invalid_algorithm,10.0,20
DOUBLE,FromPlan,fdtd-2d,invalid_code,40.0,20
DOUBLE,FromPlan,fdtd-2d,slowdown,50.0,20
DOUBLE,FromPlan,fdtd-2d,speedup_over,0.0,20
DOUBLE,FromPlan,fdtd-2d,speedup_under,0.0,20
DOUBLE,FromPlan,gemver,invalid_algorithm,0.0,20
DOUBLE,FromPlan,gemver,invalid_code,50.0,20
DOUBLE,FromPlan,gemver,slowdown,50.0,20
DOUBLE,FromPlan,gemver,speedup_over,0.0,20
DOUBLE,FromPlan,gemver,speedup_under,0.0,20
DOUBLE,FromPlan,gesummv,invalid_algorithm,25.0,20
DOUBLE,FromPlan,gesummv,invalid_code,20.0,20
DOUBLE,FromPlan,gesummv,slowdown,25.0,20
DOUBLE,FromPlan,gesummv,speedup_over,30.0,20
DOUBLE,FromPlan,gesummv,speedup_under,0.0,20
DOUBLE,FromPlan,gramschmidt,invalid_algorithm,55.00000000000001,20
DOUBLE,FromPlan,gramschmidt,invalid_code,45.0,20
DOUBLE,FromPlan,gramschmidt,slowdown,0.0,20
DOUBLE,FromPlan,gramschmidt,speedup_over,0.0,20
DOUBLE,FromPlan,gramschmidt,speedup_under,0.0,20
DOUBLE,FromPlan,jacobi-1d,invalid_algorithm,10.0,20
DOUBLE,FromPlan,jacobi-1d,invalid_code,30.0,20
DOUBLE,FromPlan,jacobi-1d,slowdown,55.00000000000001,20
DOUBLE,FromPlan,jacobi-1d,speedup_over,5.0,20
DOUBLE,FromPlan,jacobi-1d,speedup_under,0.0,20
DOUBLE,FromPlan,jacobi-2d,invalid_algorithm,25.0,20
DOUBLE,FromPlan,jacobi-2d,invalid_code,25.0,20
DOUBLE,FromPlan,jacobi-2d,slowdown,40.0,20
DOUBLE,FromPlan,jacobi-2d,speedup_over,10.0,20
DOUBLE,FromPlan,jacobi-2d,speedup_under,0.0,20
DOUBLE,FromPlan,lu,invalid_algorithm,10.0,20
DOUBLE,FromPlan,lu,invalid_code,30.0,20
DOUBLE,FromPlan,lu,slowdown,60.0,20
DOUBLE,FromPlan,lu,speedup_over,0.0,20
DOUBLE,FromPlan,lu,speedup_under,0.0,20
DOUBLE,FromPlan,ludcmp,invalid_algorithm,20.0,20
DOUBLE,FromPlan,ludcmp,invalid_code,35.0,20
DOUBLE,FromPlan,ludcmp,slowdown,40.0,20
DOUBLE,FromPlan,ludcmp,speedup_over,5.0,20
DOUBLE,FromPlan,ludcmp,speedup_under,0.0,20
DOUBLE,FromPlan,mvt,invalid_algorithm,20.0,20
DOUBLE,FromPlan,mvt,invalid_code,10.0,20
DOUBLE,FromPlan,mvt,slowdown,70.0,20
DOUBLE,FromPlan,mvt,speedup_over,0.0,20
DOUBLE,FromPlan,mvt,speedup_under,0.0,20
DOUBLE,FromPlan,nussinov,invalid_algorithm,20.0,20
DOUBLE,FromPlan,nussinov,invalid_code,50.0,20
DOUBLE,FromPlan,nussinov,slowdown,15.0,20
DOUBLE,FromPlan,nussinov,speedup_over,15.0,20
DOUBLE,FromPlan,nussinov,speedup_under,0.0,20
DOUBLE,FromPlan,seidel-2d,invalid_algorithm,5.0,20
DOUBLE,FromPlan,seidel-2d,invalid_code,40.0,20
DOUBLE,FromPlan,seidel-2d,slowdown,0.0,20
DOUBLE,FromPlan,seidel-2d,speedup_over,55.00000000000001,20
DOUBLE,FromPlan,seidel-2d,speedup_under,0.0,20
DOUBLE,FromPlan,symm,invalid_algorithm,15.0,20
DOUBLE,FromPlan,symm,invalid_code,15.0,20
DOUBLE,FromPlan,symm,slowdown,25.0,20
DOUBLE,FromPlan,symm,speedup_over,40.0,20
DOUBLE,FromPlan,symm,speedup_under,5.0,20
DOUBLE,FromPlan,syr2k,invalid_algorithm,20.0,20
DOUBLE,FromPlan,syr2k,invalid_code,15.0,20
DOUBLE,FromPlan,syr2k,slowdown,60.0,20
DOUBLE,FromPlan,syr2k,speedup_over,0.0,20
DOUBLE,FromPlan,syr2k,speedup_under,5.0,20
DOUBLE,FromPlan,syrk,invalid_algorithm,5.0,20
DOUBLE,FromPlan,syrk,invalid_code,35.0,20
DOUBLE,FromPlan,syrk,slowdown,55.00000000000001,20
DOUBLE,FromPlan,syrk,speedup_over,5.0,20
DOUBLE,FromPlan,syrk,speedup_under,0.0,20
DOUBLE,FromPlan,trisolv,invalid_algorithm,20.0,20
DOUBLE,FromPlan,trisolv,invalid_code,10.0,20
DOUBLE,FromPlan,trisolv,slowdown,5.0,20
DOUBLE,FromPlan,trisolv,speedup_over,15.0,20
DOUBLE,FromPlan,trisolv,speedup_under,50.0,20
DOUBLE,FromPlan,trmm,invalid_algorithm,5.0,20
DOUBLE,FromPlan,trmm,invalid_code,40.0,20
DOUBLE,FromPlan,trmm,slowdown,45.0,20
DOUBLE,FromPlan,trmm,speedup_over,10.0,20
DOUBLE,FromPlan,trmm,speedup_under,0.0,20
DOUBLE,Naive,3mm,invalid_algorithm,20.0,20
DOUBLE,Naive,3mm,invalid_code,5.0,20
DOUBLE,Naive,3mm,slowdown,75.0,20
DOUBLE,Naive,3mm,speedup_over,0.0,20
DOUBLE,Naive,3mm,speedup_under,0.0,20
DOUBLE,Naive,adi,invalid_algorithm,20.0,20
DOUBLE,Naive,adi,invalid_code,15.0,20
DOUBLE,Naive,adi,slowdown,55.00000000000001,20
DOUBLE,Naive,adi,speedup_over,0.0,20
DOUBLE,Naive,adi,speedup_under,10.0,20
DOUBLE,Naive,atax,invalid_algorithm,15.0,20
DOUBLE,Naive,atax,invalid_code,30.0,20
DOUBLE,Naive,atax,slowdown,55.00000000000001,20
DOUBLE,Naive,atax,speedup_over,0.0,20
DOUBLE,Naive,atax,speedup_under,0.0,20
DOUBLE,Naive,bicg,invalid_algorithm,25.0,20
DOUBLE,Naive,bicg,invalid_code,0.0,20
DOUBLE,Naive,bicg,slowdown,75.0,20
DOUBLE,Naive,bicg,speedup_over,0.0,20
DOUBLE,Naive,bicg,speedup_under,0.0,20
DOUBLE,Naive,cholesky,invalid_algorithm,25.0,20
DOUBLE,Naive,cholesky,invalid_code,25.0,20
DOUBLE,Naive,cholesky,slowdown,10.0,20
DOUBLE,Naive,cholesky,speedup_over,0.0,20
DOUBLE,Naive,cholesky,speedup_under,40.0,20
DOUBLE,Naive,correlation,invalid_algorithm,25.0,20
DOUBLE,Naive,correlation,invalid_code,10.0,20
DOUBLE,Naive,correlation,slowdown,65.0,20
DOUBLE,Naive,correlation,speedup_over,0.0,20
DOUBLE,Naive,correlation,speedup_under,0.0,20
DOUBLE,Naive,covariance,invalid_algorithm,20.0,20
DOUBLE,Naive,covariance,invalid_code,5.0,20
DOUBLE,Naive,covariance,slowdown,75.0,20
DOUBLE,Naive,covariance,speedup_over,0.0,20
DOUBLE,Naive,covariance,speedup_under,0.0,20
DOUBLE,Naive,deriche,invalid_algorithm,0.0,20
DOUBLE,Naive,deriche,invalid_code,45.0,20
DOUBLE,Naive,deriche,slowdown,30.0,20
DOUBLE,Naive,deriche,speedup_over,20.0,20
DOUBLE,Naive,deriche,speedup_under,5.0,20
DOUBLE,Naive,doitgen,invalid_algorithm,20.0,20
DOUBLE,Naive,doitgen,invalid_code,10.0,20
DOUBLE,Naive,doitgen,slowdown,5.0,20
DOUBLE,Naive,doitgen,speedup_over,65.0,20
DOUBLE,Naive,doitgen,speedup_under,0.0,20
DOUBLE,Naive,durbin,invalid_algorithm,25.0,20
DOUBLE,Naive,durbin,invalid_code,15.0,20
DOUBLE,Naive,durbin,slowdown,25.0,20
DOUBLE,Naive,durbin,speedup_over,0.0,20
DOUBLE,Naive,durbin,speedup_under,35.0,20
DOUBLE,Naive,fdtd-2d,invalid_algorithm,10.0,20
DOUBLE,Naive,fdtd-2d,invalid_code,20.0,20
DOUBLE,Naive,fdtd-2d,slowdown,60.0,20
DOUBLE,Naive,fdtd-2d,speedup_over,10.0,20
DOUBLE,Naive,fdtd-2d,speedup_under,0.0,20
DOUBLE,Naive,gemver,invalid_algorithm,0.0,20
DOUBLE,Naive,gemver,invalid_code,45.0,20
DOUBLE,Naive,gemver,slowdown,50.0,20
DOUBLE,Naive,gemver,speedup_over,5.0,20
DOUBLE,Naive,gemver,speedup_under,0.0,20
DOUBLE,Naive,gesummv,invalid_algorithm,10.0,20
DOUBLE,Naive,gesummv,invalid_code,5.0,20
DOUBLE,Naive,gesummv,slowdown,50.0,20
DOUBLE,Naive,gesummv,speedup_over,30.0,20
DOUBLE,Naive,gesummv,speedup_under,5.0,20
DOUBLE,Naive,gramschmidt,invalid_algorithm,60.0,20
DOUBLE,Naive,gramschmidt,invalid_code,35.0,20
DOUBLE,Naive,gramschmidt,slowdown,0.0,20
DOUBLE,Naive,gramschmidt,speedup_over,5.0,20
DOUBLE,Naive,gramschmidt,speedup_under,0.0,20
DOUBLE,Naive,jacobi-1d,invalid_algorithm,20.0,20
DOUBLE,Naive,jacobi-1d,invalid_code,25.0,20
DOUBLE,Naive,jacobi-1d,slowdown,40.0,20
DOUBLE,Naive,jacobi-1d,speedup_over,15.0,20
