data_type,framework,version,algorithm,repetition,category
DOUBLE,c,AllHints,lu,3,slowdown
DOUBLE,c,AllHints,lu,4,speedup_over
DOUBLE,c,AllHints,lu,5,speedup_over
DOUBLE,c,AllHints,ludcmp,1,speedup_over
DOUBLE,c,AllHints,ludcmp,2,speedup_over
DOUBLE,c,AllHints,ludcmp,3,speedup_under
DOUBLE,c,AllHints,ludcmp,4,invalid_code
DOUBLE,c,AllHints,ludcmp,5,speedup_under
DOUBLE,c,AllHints,mvt,1,speedup_over
DOUBLE,c,AllHints,mvt,2,speedup_over
DOUBLE,c,AllHints,mvt,3,invalid_algorithm
DOUBLE,c,AllHints,mvt,4,speedup_over
DOUBLE,c,AllHints,mvt,5,speedup_over
DOUBLE,c,AllHints,nussinov,1,speedup_over
DOUBLE,c,AllHints,nussinov,2,invalid_code
DOUBLE,c,AllHints,nussinov,3,speedup_over
DOUBLE,c,AllHints,nussinov,4,invalid_code
DOUBLE,c,AllHints,nussinov,5,speedup_over
DOUBLE,c,AllHints,seidel-2d,1,speedup_over
DOUBLE,c,AllHints,seidel-2d,2,slowdown
DOUBLE,c,AllHints,seidel-2d,3,slowdown
DOUBLE,c,AllHints,seidel-2d,4,slowdown
DOUBLE,c,AllHints,seidel-2d,5,speedup_over
DOUBLE,c,AllHints,symm,1,speedup_over
DOUBLE,c,AllHints,symm,2,speedup_over
DOUBLE,c,AllHints,symm,3,slowdown
DOUBLE,c,AllHints,symm,4,slowdown
DOUBLE,c,AllHints,symm,5,speedup_over
DOUBLE,c,AllHints,syr2k,1,speedup_over
DOUBLE,c,AllHints,syr2k,2,speedup_over
DOUBLE,c,AllHints,syr2k,3,speedup_over
DOUBLE,c,AllHints,syr2k,4,speedup_over
DOUBLE,c,AllHints,syr2k,5,speedup_over
DOUBLE,c,AllHints,syrk,1,speedup_over
DOUBLE,c,AllHints,syrk,2,speedup_over
DOUBLE,c,AllHints,syrk,3,speedup_over
DOUBLE,c,AllHints,syrk,4,speedup_over
DOUBLE,c,AllHints,syrk,5,speedup_over
DOUBLE,c,AllHints,trisolv,1,invalid_algorithm
DOUBLE,c,AllHints,trisolv,2,invalid_algorithm
DOUBLE,c,AllHints,trisolv,3,slowdown
DOUBLE,c,AllHints,trisolv,4,slowdown
DOUBLE,c,AllHints,trisolv,5,speedup_under
DOUBLE,c,AllHints,trmm,1,speedup_over
DOUBLE,c,AllHints,trmm,2,speedup_over
DOUBLE,c,AllHints,trmm,3,speedup_over
DOUBLE,c,AllHints,trmm,4,speedup_over
DOUBLE,c,AllHints,trmm,5,speedup_over
DOUBLE,c,ChooseHints,3mm,1,speedup_over
DOUBLE,c,ChooseHints,3mm,2,speedup_over
DOUBLE,c,ChooseHints,3mm,3,speedup_over
DOUBLE,c,ChooseHints,3mm,4,speedup_over
DOUBLE,c,ChooseHints,3mm,5,invalid_code
DOUBLE,c,ChooseHints,adi,1,invalid_code
DOUBLE,c,ChooseHints,adi,2,speedup_over
DOUBLE,c,ChooseHints,adi,3,slowdown
DOUBLE,c,ChooseHints,adi,4,speedup_over
DOUBLE,c,ChooseHints,adi,5,speedup_over
DOUBLE,c,ChooseHints,atax,1,speedup_over
DOUBLE,c,ChooseHints,atax,2,speedup_over
DOUBLE,c,ChooseHints,atax,3,speedup_over
DOUBLE,c,ChooseHints,atax,4,slowdown
DOUBLE,c,ChooseHints,atax,5,slowdown
DOUBLE,c,ChooseHints,bicg,1,speedup_over
DOUBLE,c,ChooseHints,bicg,2,speedup_over
DOUBLE,c,ChooseHints,bicg,3,speedup_over
DOUBLE,c,ChooseHints,bicg,4,speedup_over
DOUBLE,c,ChooseHints,bicg,5,speedup_over
DOUBLE,c,ChooseHints,cholesky,1,speedup_under
DOUBLE,c,ChooseHints,cholesky,2,invalid_algorithm
DOUBLE,c,ChooseHints,cholesky,3,speedup_under
DOUBLE,c,ChooseHints,cholesky,4,invalid_code
DOUBLE,c,ChooseHints,cholesky,5,speedup_under
DOUBLE,c,ChooseHints,correlation,1,speedup_over
DOUBLE,c,ChooseHints,correlation,2,speedup_over
DOUBLE,c,ChooseHints,correlation,3,speedup_over
DOUBLE,c,ChooseHints,correlation,4,invalid_code
DOUBLE,c,ChooseHints,correlation,5,speedup_over
DOUBLE,c,ChooseHints,covariance,1,speedup_over
DOUBLE,c,ChooseHints,covariance,2,speedup_over
DOUBLE,c,ChooseHints,covariance,3,speedup_over
DOUBLE,c,ChooseHints,covariance,4,speedup_over
DOUBLE,c,ChooseHints,covariance,5,speedup_over
DOUBLE,c,ChooseHints,deriche,1,speedup_over
DOUBLE,c,ChooseHints,deriche,2,speedup_over
DOUBLE,c,ChooseHints,deriche,3,speedup_over
DOUBLE,c,ChooseHints,deriche,4,speedup_over
DOUBLE,c,ChooseHints,deriche,5,slowdown
DOUBLE,c,ChooseHints,doitgen,1,speedup_over
DOUBLE,c,ChooseHints,doitgen,2,speedup_over
DOUBLE,c,ChooseHints,doitgen,3,speedup_over
DOUBLE,c,ChooseHints,doitgen,4,speedup_over
DOUBLE,c,ChooseHints,doitgen,5,speedup_over
DOUBLE,c,ChooseHints,durbin,1,speedup_over
DOUBLE,c,ChooseHints,durbin,2,slowdown
DOUBLE,c,ChooseHints,durbin,3,slowdown
DOUBLE,c,ChooseHints,durbin,4,speedup_over
DOUBLE,c,ChooseHints,durbin,5,slowdown
DOUBLE,c,ChooseHints,fdtd-2d,1,invalid_code
DOUBLE,c,ChooseHints,fdtd-2d,2,slowdown
DOUBLE,c,ChooseHints,fdtd-2d,3,slowdown
DOUBLE,c,ChooseHints,fdtd-2d,4,invalid_algorithm
DOUBLE,c,ChooseHints,fdtd-2d,5,slowdown
DOUBLE,c,ChooseHints,gemver,1,speedup_over
DOUBLE,c,ChooseHints,gemver,2,speedup_over
DOUBLE,c,ChooseHints,gemver,3,slowdown
DOUBLE,c,ChooseHints,gemver,4,speedup_over
DOUBLE,c,ChooseHints,gemver,5,speedup_over
DOUBLE,c,ChooseHints,gesummv,1,speedup_over
DOUBLE,c,ChooseHints,gesummv,2,speedup_over
DOUBLE,c,ChooseHints,gesummv,3,speedup_over
DOUBLE,c,ChooseHints,gesummv,4,speedup_over
DOUBLE,c,ChooseHints,gesummv,5,speedup_over
DOUBLE,c,ChooseHints,gramschmidt,1,speedup_over
DOUBLE,c,ChooseHints,gramschmidt,2,invalid_code
DOUBLE,c,ChooseHints,gramschmidt,3,invalid_algorithm
DOUBLE,c,ChooseHints,gramschmidt,4,speedup_over
DOUBLE,c,ChooseHints,gramschmidt,5,invalid_algorithm
DOUBLE,c,ChooseHints,jacobi-1d,1,invalid_code
DOUBLE,c,ChooseHints,jacobi-1d,2,slowdown
DOUBLE,c,ChooseHints,jacobi-1d,3,slowdown
DOUBLE,c,ChooseHints,jacobi-1d,4,slowdown
DOUBLE,c,ChooseHints,jacobi-1d,5,slowdown
DOUBLE,c,ChooseHints,jacobi-2d,1,slowdown
DOUBLE,c,ChooseHints,jacobi-2d,2,slowdown
DOUBLE,c,ChooseHints,jacobi-2d,3,speedup_over
DOUBLE,c,ChooseHints,jacobi-2d,4,speedup_over
DOUBLE,c,ChooseHints,jacobi-2d,5,slowdown
DOUBLE,c,ChooseHints,lu,1,speedup_over
DOUBLE,c,ChooseHints,lu,2,speedup_over
DOUBLE,c,ChooseHints,lu,3,speedup_over
DOUBLE,c,ChooseHints,lu,4,speedup_over
DOUBLE,c,ChooseHints,lu,5,slowdown
DOUBLE,c,ChooseHints,ludcmp,1,slowdown
DOUBLE,c,ChooseHints,ludcmp,2,slowdown
DOUBLE,c,ChooseHints,ludcmp,3,speedup_over
DOUBLE,c,ChooseHints,ludcmp,4,slowdown
DOUBLE,c,ChooseHints,ludcmp,5,slowdown
DOUBLE,c,ChooseHints,mvt,1,speedup_over
DOUBLE,c,ChooseHints,mvt,2,speedup_over
DOUBLE,c,ChooseHints,mvt,3,speedup_over
DOUBLE,c,ChooseHints,mvt,4,invalid_code
DOUBLE,c,ChooseHints,mvt,5,speedup_over
DOUBLE,c,ChooseHints,nussinov,1,speedup_over
DOUBLE,c,ChooseHints,nussinov,2,speedup_over
DOUBLE,c,ChooseHints,nussinov,3,invalid_code
DOUBLE,c,ChooseHints,nussinov,4,speedup_over
DOUBLE,c,ChooseHints,nussinov,5,speedup_over
DOUBLE,c,ChooseHints,seidel-2d,1,speedup_over
DOUBLE,c,ChooseHints,seidel-2d,2,slowdown
DOUBLE,c,ChooseHints,seidel-2d,3,speedup_over
DOUBLE,c,ChooseHints,seidel-2d,4,speedup_under
DOUBLE,c,ChooseHints,seidel-2d,5,speedup_over
DOUBLE,c,ChooseHints,symm,1,speedup_over
DOUBLE,c,ChooseHints,symm,2,speedup_over
DOUBLE,c,ChooseHints,symm,3,speedup_over
DOUBLE,c,ChooseHints,symm,4,speedup_over
DOUBLE,c,ChooseHints,symm,5,slowdown
DOUBLE,c,ChooseHints,syr2k,1,invalid_code
DOUBLE,c,ChooseHints,syr2k,2,speedup_over
DOUBLE,c,ChooseHints,syr2k,3,speedup_over
DOUBLE,c,ChooseHints,syr2k,4,speedup_over
DOUBLE,c,ChooseHints,syr2k,5,speedup_over
DOUBLE,c,ChooseHints,syrk,1,speedup_over
DOUBLE,c,ChooseHints,syrk,2,speedup_over
DOUBLE,c,ChooseHints,syrk,3,speedup_over
DOUBLE,c,ChooseHints,syrk,4,speedup_over
DOUBLE,c,ChooseHints,syrk,5,speedup_over
DOUBLE,c,ChooseHints,trisolv,1,slowdown
DOUBLE,c,ChooseHints,trisolv,2,invalid_algorithm
DOUBLE,c,ChooseHints,trisolv,3,slowdown
DOUBLE,c,ChooseHints,trisolv,4,invalid_algorithm
DOUBLE,c,ChooseHints,trisolv,5,invalid_algorithm
DOUBLE,c,ChooseHints,trmm,1,speedup_over
DOUBLE,c,ChooseHints,trmm,2,speedup_over
DOUBLE,c,ChooseHints,trmm,3,speedup_over
DOUBLE,c,ChooseHints,trmm,4,speedup_over
DOUBLE,c,ChooseHints,trmm,5,speedup_over
DOUBLE,c,FromPlan,3mm,1,speedup_over
DOUBLE,c,FromPlan,3mm,2,speedup_over
DOUBLE,c,FromPlan,3mm,3,speedup_over
DOUBLE,c,FromPlan,3mm,4,speedup_over
DOUBLE,c,FromPlan,3mm,5,speedup_over
DOUBLE,c,FromPlan,adi,1,speedup_over
DOUBLE,c,FromPlan,adi,2,speedup_over
DOUBLE,c,FromPlan,adi,3,speedup_over
DOUBLE,c,FromPlan,adi,4,speedup_over
DOUBLE,c,FromPlan,adi,5,speedup_over
DOUBLE,c,FromPlan,atax,1,speedup_over
DOUBLE,c,FromPlan,atax,2,invalid_code
DOUBLE,c,FromPlan,atax,3,speedup_over
DOUBLE,c,FromPlan,atax,4,speedup_over
DOUBLE,c,FromPlan,atax,5,slowdown
DOUBLE,c,FromPlan,bicg,1,speedup_over
DOUBLE,c,FromPlan,bicg,2,speedup_over
DOUBLE,c,FromPlan,bicg,3,speedup_over
DOUBLE,c,FromPlan,bicg,4,speedup_over
DOUBLE,c,FromPlan,bicg,5,speedup_over
DOUBLE,c,FromPlan,cholesky,1,speedup_over
DOUBLE,c,FromPlan,cholesky,2,speedup_under
DOUBLE,c,FromPlan,cholesky,3,speedup_under
DOUBLE,c,FromPlan,cholesky,4,speedup_over
DOUBLE,c,FromPlan,cholesky,5,speedup_over
DOUBLE,c,FromPlan,correlation,1,speedup_over
DOUBLE,c,FromPlan,correlation,2,speedup_over
DOUBLE,c,FromPlan,correlation,3,speedup_over
DOUBLE,c,FromPlan,correlation,4,speedup_over
DOUBLE,c,FromPlan,correlation,5,speedup_over
DOUBLE,c,FromPlan,covariance,1,speedup_over
DOUBLE,c,FromPlan,covariance,2,speedup_over
DOUBLE,c,FromPlan,covariance,3,speedup_over
DOUBLE,c,FromPlan,covariance,4,speedup_over
DOUBLE,c,FromPlan,covariance,5,speedup_over
DOUBLE,c,FromPlan,deriche,1,speedup_over
DOUBLE,c,FromPlan,deriche,2,speedup_over
DOUBLE,c,FromPlan,deriche,3,speedup_over
DOUBLE,c,FromPlan,deriche,4,speedup_over
DOUBLE,c,FromPlan,deriche,5,speedup_over
DOUBLE,c,FromPlan,doitgen,1,speedup_over
DOUBLE,c,FromPlan,doitgen,2,speedup_over
DOUBLE,c,FromPlan,doitgen,3,speedup_over
DOUBLE,c,FromPlan,doitgen,4,speedup_over
DOUBLE,c,FromPlan,doitgen,5,speedup_over
DOUBLE,c,FromPlan,durbin,1,speedup_under
DOUBLE,c,FromPlan,durbin,2,speedup_over
DOUBLE,c,FromPlan,durbin,3,speedup_over
DOUBLE,c,FromPlan,durbin,4,speedup_over
DOUBLE,c,FromPlan,durbin,5,speedup_over
DOUBLE,c,FromPlan,fdtd-2d,1,slowdown
DOUBLE,c,FromPlan,fdtd-2d,2,slowdown
DOUBLE,c,FromPlan,fdtd-2d,3,slowdown
DOUBLE,c,FromPlan,fdtd-2d,4,invalid_code
DOUBLE,c,FromPlan,fdtd-2d,5,slowdown
DOUBLE,c,FromPlan,gemver,1,speedup_over
DOUBLE,c,FromPlan,gemver,2,speedup_over
DOUBLE,c,FromPlan,gemver,3,speedup_over
DOUBLE,c,FromPlan,gemver,4,speedup_over
DOUBLE,c,FromPlan,gemver,5,invalid_code
DOUBLE,c,FromPlan,gesummv,1,speedup_over
DOUBLE,c,FromPlan,gesummv,2,speedup_over
DOUBLE,c,FromPlan,gesummv,3,speedup_over
DOUBLE,c,FromPlan,gesummv,4,speedup_over
DOUBLE,c,FromPlan,gesummv,5,speedup_over
DOUBLE,c,FromPlan,gramschmidt,1,invalid_algorithm
DOUBLE,c,FromPlan,gramschmidt,2,invalid_algorithm
DOUBLE,c,FromPlan,gramschmidt,3,invalid_algorithm
DOUBLE,c,FromPlan,gramschmidt,4,invalid_algorithm
DOUBLE,c,FromPlan,gramschmidt,5,invalid_algorithm
DOUBLE,c,FromPlan,jacobi-1d,1,invalid_code
DOUBLE,c,FromPlan,jacobi-1d,2,slowdown
DOUBLE,c,FromPlan,jacobi-1d,3,slowdown
DOUBLE,c,FromPlan,jacobi-1d,4,slowdown
DOUBLE,c,FromPlan,jacobi-1d,5,slowdown
DOUBLE,c,FromPlan,jacobi-2d,1,slowdown
DOUBLE,c,FromPlan,jacobi-2d,2,slowdown
DOUBLE,c,FromPlan,jacobi-2d,3,speedup_over
DOUBLE,c,FromPlan,jacobi-2d,4,slowdown
DOUBLE,c,FromPlan,jacobi-2d,5,slowdown
DOUBLE,c,FromPlan,lu,1,speedup_over
DOUBLE,c,FromPlan,lu,2,slowdown
DOUBLE,c,FromPlan,lu,3,speedup_over
DOUBLE,c,FromPlan,lu,4,speedup_under
DOUBLE,c,FromPlan,lu,5,speedup_over
DOUBLE,c,FromPlan,ludcmp,1,speedup_over
DOUBLE,c,FromPlan,ludcmp,2,invalid_code
DOUBLE,c,FromPlan,ludcmp,3,speedup_over
DOUBLE,c,FromPlan,ludcmp,4,speedup_over
DOUBLE,c,FromPlan,ludcmp,5,speedup_over
DOUBLE,c,FromPlan,mvt,1,speedup_over
DOUBLE,c,FromPlan,mvt,2,speedup_over
DOUBLE,c,FromPlan,mvt,3,speedup_over
DOUBLE,c,FromPlan,mvt,4,speedup_over
DOUBLE,c,FromPlan,mvt,5,speedup_over
DOUBLE,c,FromPlan,nussinov,1,speedup_over
DOUBLE,c,FromPlan,nussinov,2,invalid_code
DOUBLE,c,FromPlan,nussinov,3,speedup_over
DOUBLE,c,FromPlan,nussinov,4,speedup_over
DOUBLE,c,FromPlan,nussinov,5,speedup_over
DOUBLE,c,FromPlan,seidel-2d,1,speedup_over
DOUBLE,c,FromPlan,seidel-2d,2,speedup_over
DOUBLE,c,FromPlan,seidel-2d,3,speedup_over
DOUBLE,c,FromPlan,seidel-2d,4,speedup_over
DOUBLE,c,FromPlan,seidel-2d,5,speedup_over
DOUBLE,c,FromPlan,symm,1,speedup_over
DOUBLE,c,FromPlan,symm,2,speedup_over
DOUBLE,c,FromPlan,symm,3,speedup_over
DOUBLE,c,FromPlan,symm,4,speedup_over
DOUBLE,c,FromPlan,symm,5,speedup_over
DOUBLE,c,FromPlan,syr2k,1,invalid_code
DOUBLE,c,FromPlan,syr2k,2,speedup_over
DOUBLE,c,FromPlan,syr2k,3,speedup_over
DOUBLE,c,FromPlan,syr2k,4,speedup_over
DOUBLE,c,FromPlan,syr2k,5,speedup_over
DOUBLE,c,FromPlan,syrk,1,speedup_over
DOUBLE,c,FromPlan,syrk,2,speedup_over
DOUBLE,c,FromPlan,syrk,3,speedup_over
DOUBLE,c,FromPlan,syrk,4,slowdown
DOUBLE,c,FromPlan,syrk,5,slowdown
DOUBLE,c,FromPlan,trisolv,1,slowdown
DOUBLE,c,FromPlan,trisolv,2,speedup_over
DOUBLE,c,FromPlan,trisolv,3,speedup_over
DOUBLE,c,FromPlan,trisolv,4,speedup_over
DOUBLE,c,FromPlan,trisolv,5,speedup_under
DOUBLE,c,FromPlan,trmm,1,speedup_over
DOUBLE,c,FromPlan,trmm,2,speedup_over
DOUBLE,c,FromPlan,trmm,3,speedup_over
DOUBLE,c,FromPlan,trmm,4,speedup_over
DOUBLE,c,FromPlan,trmm,5,speedup_over
DOUBLE,c,Naive,3mm,1,speedup_over
DOUBLE,c,Naive,3mm,2,speedup_over
DOUBLE,c,Naive,3mm,3,speedup_over
DOUBLE,c,Naive,3mm,4,speedup_over
DOUBLE,c,Naive,3mm,5,speedup_over
DOUBLE,c,Naive,adi,1,speedup_under
DOUBLE,c,Naive,adi,2,slowdown
DOUBLE,c,Naive,adi,3,speedup_over
DOUBLE,c,Naive,adi,4,speedup_over
DOUBLE,c,Naive,adi,5,speedup_over
DOUBLE,c,Naive,atax,1,speedup_under
DOUBLE,c,Naive,atax,2,speedup_under
DOUBLE,c,Naive,atax,3,speedup_under
DOUBLE,c,Naive,atax,4,speedup_under
DOUBLE,c,Naive,atax,5,invalid_code
DOUBLE,c,Naive,bicg,1,speedup_over
DOUBLE,c,Naive,bicg,2,speedup_over
DOUBLE,c,Naive,bicg,3,speedup_over
DOUBLE,c,Naive,bicg,4,speedup_over
DOUBLE,c,Naive,bicg,5,speedup_over
DOUBLE,c,Naive,cholesky,1,speedup_under
DOUBLE,c,Naive,cholesky,2,speedup_under
DOUBLE,c,Naive,cholesky,3,speedup_under
DOUBLE,c,Naive,cholesky,4,speedup_under
DOUBLE,c,Naive,cholesky,5,speedup_under
DOUBLE,c,Naive,correlation,1,speedup_over
DOUBLE,c,Naive,correlation,2,speedup_over
DOUBLE,c,Naive,correlation,3,speedup_over
DOUBLE,c,Naive,correlation,4,speedup_over
DOUBLE,c,Naive,correlation,5,speedup_over
DOUBLE,c,Naive,covariance,1,speedup_over
DOUBLE,c,Naive,covariance,2,speedup_over
DOUBLE,c,Naive,covariance,3,speedup_over
DOUBLE,c,Naive,covariance,4,speedup_over
DOUBLE,c,Naive,covariance,5,speedup_over
DOUBLE,c,Naive,deriche,1,speedup_over
DOUBLE,c,Naive,deriche,2,speedup_over
DOUBLE,c,Naive,deriche,3,slowdown
DOUBLE,c,Naive,deriche,4,slowdown
DOUBLE,c,Naive,deriche,5,slowdown
DOUBLE,c,Naive,doitgen,1,speedup_over
DOUBLE,c,Naive,doitgen,2,speedup_over
DOUBLE,c,Naive,doitgen,3,speedup_over
DOUBLE,c,Naive,doitgen,4,speedup_over
DOUBLE,c,Naive,doitgen,5,speedup_over
DOUBLE,c,Naive,durbin,1,speedup_over
DOUBLE,c,Naive,durbin,2,slowdown
DOUBLE,c,Naive,durbin,3,speedup_over
DOUBLE,c,Naive,durbin,4,speedup_over
DOUBLE,c,Naive,durbin,5,speedup_over
DOUBLE,c,Naive,fdtd-2d,1,speedup_over
DOUBLE,c,Naive,fdtd-2d,2,speedup_under
DOUBLE,c,Naive,fdtd-2d,3,speedup_over
DOUBLE,c,Naive,fdtd-2d,4,speedup_over
DOUBLE,c,Naive,fdtd-2d,5,slowdown
DOUBLE,c,Naive,gemver,1,speedup_over
DOUBLE,c,Naive,gemver,2,speedup_over
DOUBLE,c,Naive,gemver,3,speedup_over
DOUBLE,c,Naive,gemver,4,speedup_over
DOUBLE,c,Naive,gemver,5,speedup_over
DOUBLE,c,Naive,gesummv,1,speedup_over
DOUBLE,c,Naive,gesummv,2,speedup_over
DOUBLE,c,Naive,gesummv,3,speedup_over
DOUBLE,c,Naive,gesummv,4,speedup_over
DOUBLE,c,Naive,gesummv,5,speedup_over
DOUBLE,c,Naive,gramschmidt,1,speedup_over
DOUBLE,c,Naive,gramschmidt,2,invalid_algorithm
DOUBLE,c,Naive,gramschmidt,3,invalid_algorithm
DOUBLE,c,Naive,gramschmidt,4,invalid_algorithm
DOUBLE,c,Naive,gramschmidt,5,invalid_algorithm
DOUBLE,c,Naive,jacobi-1d,1,invalid_code
DOUBLE,c,Naive,jacobi-1d,2,slowdown
DOUBLE,c,Naive,jacobi-1d,3,slowdown
DOUBLE,c,Naive,jacobi-1d,4,slowdown
DOUBLE,c,Naive,jacobi-1d,5,slowdown
DOUBLE,c,Naive,jacobi-2d,1,speedup_under
DOUBLE,c,Naive,jacobi-2d,2,speedup_under
DOUBLE,c,Naive,jacobi-2d,3,slowdown
DOUBLE,c,Naive,jacobi-2d,4,slowdown
DOUBLE,c,Naive,jacobi-2d,5,invalid_code
DOUBLE,c,Naive,lu,1,speedup_over
DOUBLE,c,Naive,lu,2,speedup_over
DOUBLE,c,Naive,lu,3,speedup_over
DOUBLE,c,Naive,lu,4,speedup_over
DOUBLE,c,Naive,lu,5,speedup_over
DOUBLE,c,Naive,ludcmp,1,invalid_code
DOUBLE,c,Naive,ludcmp,2,speedup_over
DOUBLE,c,Naive,ludcmp,3,slowdown
DOUBLE,c,Naive,ludcmp,4,speedup_under
DOUBLE,c,Naive,ludcmp,5,invalid_algorithm
DOUBLE,c,Naive,mvt,1,speedup_over
DOUBLE,c,Naive,mvt,2,speedup_over
DOUBLE,c,Naive,mvt,3,speedup_over
DOUBLE,c,Naive,mvt,4,speedup_over
DOUBLE,c,Naive,mvt,5,speedup_over
DOUBLE,c,Naive,nussinov,1,speedup_over
DOUBLE,c,Naive,nussinov,2,speedup_over
DOUBLE,c,Naive,nussinov,3,speedup_over
DOUBLE,c,Naive,nussinov,4,invalid_code
DOUBLE,c,Naive,nussinov,5,speedup_over
DOUBLE,c,Naive,seidel-2d,1,invalid_code
DOUBLE,c,Naive,seidel-2d,2,slowdown
DOUBLE,c,Naive,seidel-2d,3,speedup_over
DOUBLE,c,Naive,seidel-2d,4,speedup_over
DOUBLE,c,Naive,seidel-2d,5,slowdown
DOUBLE,c,Naive,symm,1,speedup_over
DOUBLE,c,Naive,symm,2,speedup_over
DOUBLE,c,Naive,symm,3,speedup_over
DOUBLE,c,Naive,symm,4,slowdown
DOUBLE,c,Naive,symm,5,speedup_over
DOUBLE,c,Naive,syr2k,1,speedup_over
DOUBLE,c,Naive,syr2k,2,speedup_over
DOUBLE,c,Naive,syr2k,3,speedup_over
DOUBLE,c,Naive,syr2k,4,speedup_over
DOUBLE,c,Naive,syr2k,5,speedup_over
DOUBLE,c,Naive,syrk,1,speedup_over
DOUBLE,c,Naive,syrk,2,slowdown
DOUBLE,c,Naive,syrk,3,slowdown
DOUBLE,c,Naive,syrk,4,slowdown
DOUBLE,c,Naive,syrk,5,slowdown
