framework,version,algorithm,repetition,category
c,ChooseHints,jacobi-1d,4,slowdown
c,ChooseHints,jacobi-1d,5,slowdown
c,ChooseHints,jacobi-2d,1,speedup_over
c,ChooseHints,jacobi-2d,2,speedup_over
c,ChooseHints,jacobi-2d,3,speedup_over
c,ChooseHints,jacobi-2d,4,speedup_over
c,ChooseHints,jacobi-2d,5,speedup_over
c,ChooseHints,lu,1,speedup_over
c,ChooseHints,lu,2,speedup_over
c,ChooseHints,lu,3,speedup_over
c,ChooseHints,lu,4,speedup_over
c,ChooseHints,lu,5,speedup_over
c,ChooseHints,ludcmp,1,speedup_over
c,ChooseHints,ludcmp,2,speedup_over
c,ChooseHints,ludcmp,3,speedup_over
c,ChooseHints,ludcmp,4,speedup_over
c,ChooseHints,ludcmp,5,speedup_over
c,ChooseHints,mvt,1,speedup_over
c,ChooseHints,mvt,2,speedup_over
c,ChooseHints,mvt,3,speedup_under
c,ChooseHints,mvt,4,invalid_code
c,ChooseHints,mvt,5,speedup_over
c,ChooseHints,nussinov,1,speedup_over
c,ChooseHints,nussinov,2,speedup_over
c,ChooseHints,nussinov,3,invalid_code
c,ChooseHints,nussinov,4,speedup_over
c,ChooseHints,nussinov,5,speedup_over
c,ChooseHints,seidel-2d,1,speedup_under
c,ChooseHints,seidel-2d,2,slowdown
c,ChooseHints,seidel-2d,3,speedup_over
c,ChooseHints,seidel-2d,4,slowdown
c,ChooseHints,seidel-2d,5,slowdown
c,ChooseHints,symm,1,speedup_over
c,ChooseHints,symm,2,speedup_over
c,ChooseHints,symm,3,speedup_over
c,ChooseHints,symm,4,speedup_over
c,ChooseHints,symm,5,speedup_over
c,ChooseHints,syr2k,1,invalid_code
c,ChooseHints,syr2k,2,speedup_over
c,ChooseHints,syr2k,3,speedup_over
c,ChooseHints,syr2k,4,speedup_over
c,ChooseHints,syr2k,5,speedup_over
c,ChooseHints,syrk,1,speedup_over
c,ChooseHints,syrk,2,speedup_over
c,ChooseHints,syrk,3,speedup_over
c,ChooseHints,syrk,4,speedup_over
c,ChooseHints,syrk,5,speedup_over
c,ChooseHints,trisolv,1,speedup_under
c,ChooseHints,trisolv,2,invalid_code
c,ChooseHints,trisolv,3,speedup_under
c,ChooseHints,trisolv,4,invalid_code
c,ChooseHints,trisolv,5,invalid_code
c,ChooseHints,trmm,1,speedup_over
c,ChooseHints,trmm,2,speedup_over
c,ChooseHints,trmm,3,speedup_over
c,ChooseHints,trmm,4,speedup_over
c,ChooseHints,trmm,5,speedup_over
c,FromPlan,2mm,1,speedup_over
c,FromPlan,2mm,2,speedup_over
c,FromPlan,2mm,3,speedup_over
c,FromPlan,2mm,4,speedup_over
c,FromPlan,2mm,5,speedup_over
c,FromPlan,3mm,1,speedup_over
c,FromPlan,3mm,2,speedup_over
c,FromPlan,3mm,3,speedup_over
c,FromPlan,3mm,4,speedup_over
c,FromPlan,3mm,5,speedup_over
c,FromPlan,adi,1,speedup_over
c,FromPlan,adi,2,speedup_over
c,FromPlan,adi,3,speedup_over
c,FromPlan,adi,4,speedup_over
c,FromPlan,adi,5,speedup_over
c,FromPlan,atax,1,slowdown
c,FromPlan,atax,2,invalid_code
c,FromPlan,atax,3,slowdown
c,FromPlan,atax,4,slowdown
c,FromPlan,atax,5,slowdown
c,FromPlan,bicg,1,speedup_over
c,FromPlan,bicg,2,slowdown
c,FromPlan,bicg,3,slowdown
c,FromPlan,bicg,4,slowdown
c,FromPlan,bicg,5,slowdown
c,FromPlan,cholesky,1,speedup_over
c,FromPlan,cholesky,2,speedup_under
c,FromPlan,cholesky,3,speedup_under
c,FromPlan,cholesky,4,speedup_over
c,FromPlan,cholesky,5,speedup_over
c,FromPlan,correlation,1,speedup_over
c,FromPlan,correlation,2,speedup_over
c,FromPlan,correlation,3,speedup_over
c,FromPlan,correlation,4,speedup_over
c,FromPlan,correlation,5,speedup_over
c,FromPlan,covariance,1,speedup_over
c,FromPlan,covariance,2,speedup_over
c,FromPlan,covariance,3,speedup_over
c,FromPlan,covariance,4,speedup_over
c,FromPlan,covariance,5,speedup_over
c,FromPlan,deriche,1,speedup_over
c,FromPlan,deriche,2,speedup_over
c,FromPlan,deriche,3,speedup_over
c,FromPlan,deriche,4,speedup_over
c,FromPlan,deriche,5,speedup_over
c,FromPlan,doitgen,1,speedup_over
c,FromPlan,doitgen,2,speedup_over
c,FromPlan,doitgen,3,speedup_over
c,FromPlan,doitgen,4,speedup_over
c,FromPlan,doitgen,5,speedup_over
c,FromPlan,durbin,1,slowdown
c,FromPlan,durbin,2,slowdown
c,FromPlan,durbin,3,slowdown
c,FromPlan,durbin,4,slowdown
c,FromPlan,durbin,5,slowdown
c,FromPlan,fdtd-2d,1,slowdown
c,FromPlan,fdtd-2d,2,slowdown
c,FromPlan,fdtd-2d,3,slowdown
c,FromPlan,fdtd-2d,4,invalid_code
c,FromPlan,fdtd-2d,5,slowdown
c,FromPlan,floyd-warshall,1,speedup_over
c,FromPlan,floyd-warshall,2,speedup_over
c,FromPlan,floyd-warshall,3,speedup_over
c,FromPlan,floyd-warshall,4,speedup_over
c,FromPlan,floyd-warshall,5,speedup_over
c,FromPlan,gemm,1,speedup_over
c,FromPlan,gemm,2,speedup_over
c,FromPlan,gemm,3,speedup_over
c,FromPlan,gemm,4,speedup_over
c,FromPlan,gemm,5,invalid_code
c,FromPlan,gemver,1,speedup_over
c,FromPlan,gemver,2,speedup_over
c,FromPlan,gemver,3,speedup_over
c,FromPlan,gemver,4,speedup_over
c,FromPlan,gemver,5,invalid_code
c,FromPlan,gesummv,1,speedup_over
c,FromPlan,gesummv,2,speedup_over
c,FromPlan,gesummv,3,slowdown
c,FromPlan,gesummv,4,speedup_over
c,FromPlan,gesummv,5,speedup_over
c,FromPlan,gramschmidt,1,invalid_code
c,FromPlan,gramschmidt,2,invalid_code
c,FromPlan,gramschmidt,3,invalid_code
c,FromPlan,gramschmidt,4,invalid_code
c,FromPlan,gramschmidt,5,invalid_code
c,FromPlan,heat-3d,1,speedup_under
c,FromPlan,heat-3d,2,slowdown
c,FromPlan,heat-3d,3,slowdown
c,FromPlan,heat-3d,4,slowdown
c,FromPlan,heat-3d,5,slowdown
c,FromPlan,jacobi-1d,1,invalid_code
c,FromPlan,jacobi-1d,2,slowdown
c,FromPlan,jacobi-1d,3,slowdown
c,FromPlan,jacobi-1d,4,slowdown
c,FromPlan,jacobi-1d,5,slowdown
c,FromPlan,jacobi-2d,1,slowdown
c,FromPlan,jacobi-2d,2,slowdown
c,FromPlan,jacobi-2d,3,speedup_over
c,FromPlan,jacobi-2d,4,slowdown
c,FromPlan,jacobi-2d,5,speedup_over
c,FromPlan,lu,1,speedup_over
c,FromPlan,lu,2,speedup_over
c,FromPlan,lu,3,speedup_over
c,FromPlan,lu,4,speedup_over
c,FromPlan,lu,5,speedup_over
c,FromPlan,ludcmp,1,speedup_over
c,FromPlan,ludcmp,2,invalid_code
c,FromPlan,ludcmp,3,speedup_over
c,FromPlan,ludcmp,4,speedup_over
c,FromPlan,ludcmp,5,speedup_over
c,FromPlan,mvt,1,speedup_over
c,FromPlan,mvt,2,speedup_over
c,FromPlan,mvt,3,speedup_over
c,FromPlan,mvt,4,speedup_over
c,FromPlan,mvt,5,speedup_over
c,FromPlan,nussinov,1,slowdown
c,FromPlan,nussinov,2,invalid_code
c,FromPlan,nussinov,3,speedup_over
c,FromPlan,nussinov,4,speedup_over
c,FromPlan,nussinov,5,slowdown
c,FromPlan,seidel-2d,1,speedup_over
c,FromPlan,seidel-2d,2,speedup_over
c,FromPlan,seidel-2d,3,speedup_over
c,FromPlan,seidel-2d,4,speedup_over
c,FromPlan,seidel-2d,5,speedup_over
c,FromPlan,symm,1,speedup_over
c,FromPlan,symm,2,speedup_over
c,FromPlan,symm,3,speedup_over
c,FromPlan,symm,4,speedup_over
c,FromPlan,symm,5,speedup_over
c,FromPlan,syr2k,1,invalid_code
c,FromPlan,syr2k,2,speedup_over
c,FromPlan,syr2k,3,speedup_over
c,FromPlan,syr2k,4,speedup_over
c,FromPlan,syr2k,5,speedup_over
c,FromPlan,syrk,1,speedup_over
c,FromPlan,syrk,2,speedup_over
c,FromPlan,syrk,3,speedup_over
c,FromPlan,syrk,4,speedup_over
c,FromPlan,syrk,5,speedup_over
c,FromPlan,trisolv,1,speedup_under
c,FromPlan,trisolv,2,speedup_over
c,FromPlan,trisolv,3,speedup_over
c,FromPlan,trisolv,4,speedup_over
c,FromPlan,trisolv,5,speedup_under
c,FromPlan,trmm,1,speedup_over
c,FromPlan,trmm,2,speedup_over
c,FromPlan,trmm,3,speedup_over
c,FromPlan,trmm,4,speedup_over
c,FromPlan,trmm,5,speedup_over
c,Naive,2mm,1,speedup_over
c,Naive,2mm,2,speedup_over
c,Naive,2mm,3,speedup_over
c,Naive,2mm,4,slowdown
c,Naive,2mm,5,speedup_over
c,Naive,3mm,1,speedup_over
c,Naive,3mm,2,speedup_over
c,Naive,3mm,3,speedup_over
c,Naive,3mm,4,speedup_over
c,Naive,3mm,5,speedup_over
c,Naive,adi,1,speedup_over
c,Naive,adi,2,speedup_over
c,Naive,adi,3,speedup_over
c,Naive,adi,4,speedup_over
c,Naive,adi,5,speedup_over
c,Naive,atax,1,slowdown
c,Naive,atax,2,slowdown
c,Naive,atax,3,slowdown
c,Naive,atax,4,slowdown
c,Naive,atax,5,invalid_code
c,Naive,bicg,1,slowdown
c,Naive,bicg,2,slowdown
c,Naive,bicg,3,slowdown
c,Naive,bicg,4,slowdown
c,Naive,bicg,5,slowdown
c,Naive,cholesky,1,speedup_under
c,Naive,cholesky,2,speedup_under
c,Naive,cholesky,3,speedup_under
c,Naive,cholesky,4,speedup_under
c,Naive,cholesky,5,speedup_under
c,Naive,correlation,1,speedup_over
c,Naive,correlation,2,speedup_over
c,Naive,correlation,3,speedup_over
c,Naive,correlation,4,speedup_over
c,Naive,correlation,5,speedup_over
c,Naive,covariance,1,slowdown
c,Naive,covariance,2,speedup_over
c,Naive,covariance,3,speedup_over
c,Naive,covariance,4,speedup_over
c,Naive,covariance,5,speedup_over
c,Naive,deriche,1,speedup_over
c,Naive,deriche,2,slowdown
c,Naive,deriche,3,slowdown
c,Naive,deriche,4,slowdown
c,Naive,deriche,5,slowdown
c,Naive,doitgen,1,speedup_over
c,Naive,doitgen,2,speedup_over
c,Naive,doitgen,3,speedup_over
c,Naive,doitgen,4,speedup_over
c,Naive,doitgen,5,speedup_over
c,Naive,durbin,1,slowdown
c,Naive,durbin,2,slowdown
c,Naive,durbin,3,slowdown
c,Naive,durbin,4,slowdown
c,Naive,durbin,5,slowdown
c,Naive,fdtd-2d,1,speedup_over
c,Naive,fdtd-2d,2,speedup_under
c,Naive,fdtd-2d,3,speedup_over
c,Naive,fdtd-2d,4,speedup_under
c,Naive,fdtd-2d,5,speedup_under
c,Naive,floyd-warshall,1,speedup_over
c,Naive,floyd-warshall,2,speedup_over
c,Naive,floyd-warshall,3,speedup_over
c,Naive,floyd-warshall,4,speedup_over
c,Naive,floyd-warshall,5,speedup_over
c,Naive,gemm,1,speedup_over
c,Naive,gemm,2,speedup_over
c,Naive,gemm,3,speedup_over
c,Naive,gemm,4,slowdown
c,Naive,gemm,5,speedup_over
c,Naive,gemver,1,speedup_over
c,Naive,gemver,2,speedup_over
c,Naive,gemver,3,speedup_over
c,Naive,gemver,4,speedup_over
c,Naive,gemver,5,speedup_over
c,Naive,gesummv,1,speedup_over
c,Naive,gesummv,2,slowdown
c,Naive,gesummv,3,slowdown
c,Naive,gesummv,4,slowdown
c,Naive,gesummv,5,speedup_over
c,Naive,gramschmidt,1,speedup_over
c,Naive,gramschmidt,2,invalid_code
c,Naive,gramschmidt,3,invalid_code
c,Naive,gramschmidt,4,invalid_code
c,Naive,gramschmidt,5,invalid_code
c,Naive,heat-3d,1,speedup_over
c,Naive,heat-3d,2,speedup_over
c,Naive,heat-3d,3,speedup_over
c,Naive,heat-3d,4,invalid_code
c,Naive,heat-3d,5,speedup_over
c,Naive,jacobi-1d,1,invalid_code
c,Naive,jacobi-1d,2,slowdown
c,Naive,jacobi-1d,3,speedup_over
c,Naive,jacobi-1d,4,speedup_over
c,Naive,jacobi-1d,5,speedup_over
c,Naive,jacobi-2d,1,speedup_over
c,Naive,jacobi-2d,2,speedup_under
c,Naive,jacobi-2d,3,speedup_over
c,Naive,jacobi-2d,4,speedup_over
c,Naive,jacobi-2d,5,invalid_code
c,Naive,lu,1,speedup_over
c,Naive,lu,2,speedup_over
c,Naive,lu,3,speedup_over
c,Naive,lu,4,speedup_over
c,Naive,lu,5,speedup_over
c,Naive,ludcmp,1,invalid_code
c,Naive,ludcmp,2,speedup_over
c,Naive,ludcmp,3,slowdown
c,Naive,ludcmp,4,speedup_over
c,Naive,ludcmp,5,invalid_code
c,Naive,mvt,1,speedup_over
c,Naive,mvt,2,speedup_over
c,Naive,mvt,3,speedup_over
c,Naive,mvt,4,speedup_over
c,Naive,mvt,5,speedup_over
c,Naive,nussinov,1,slowdown
c,Naive,nussinov,2,slowdown
c,Naive,nussinov,3,slowdown
c,Naive,nussinov,4,invalid_code
c,Naive,nussinov,5,slowdown
c,Naive,seidel-2d,1,invalid_code
c,Naive,seidel-2d,2,slowdown
c,Naive,seidel-2d,3,slowdown
c,Naive,seidel-2d,4,slowdown
c,Naive,seidel-2d,5,slowdown
c,Naive,symm,1,speedup_over
c,Naive,symm,2,speedup_over
c,Naive,symm,3,speedup_over
c,Naive,symm,4,speedup_over
c,Naive,symm,5,speedup_over
c,Naive,syr2k,1,speedup_over
c,Naive,syr2k,2,speedup_over
c,Naive,syr2k,3,speedup_over
c,Naive,syr2k,4,speedup_over
c,Naive,syr2k,5,speedup_over
c,Naive,syrk,1,speedup_over
c,Naive,syrk,2,speedup_under
c,Naive,syrk,3,speedup_over
c,Naive,syrk,4,slowdown
c,Naive,syrk,5,speedup_over
c,Naive,trisolv,1,speedup_under
c,Naive,trisolv,2,speedup_under
c,Naive,trisolv,3,speedup_under
c,Naive,trisolv,4,speedup_under
c,Naive,trisolv,5,invalid_code
c,Naive,trmm,1,speedup_over
c,Naive,trmm,2,speedup_over
c,Naive,trmm,3,speedup_over
c,Naive,trmm,4,speedup_over
c,Naive,trmm,5,speedup_over
c,standard,2mm,1,slowdown
c,standard,2mm,2,invalid_code
c,standard,2mm,3,invalid_code
c,standard,2mm,4,invalid_code
c,standard,2mm,5,invalid_code
c,standard,3mm,1,slowdown
c,standard,3mm,2,invalid_code
c,standard,3mm,3,invalid_code
c,standard,3mm,4,invalid_code
c,standard,3mm,5,invalid_code
c,standard,adi,1,speedup_over
c,standard,adi,2,invalid_code
c,standard,adi,3,invalid_code
c,standard,adi,4,invalid_code
c,standard,adi,5,invalid_code
c,standard,atax,1,slowdown
c,standard,atax,2,invalid_code
c,standard,atax,3,invalid_code
c,standard,atax,4,invalid_code
c,standard,atax,5,invalid_code
c,standard,bicg,1,slowdown
c,standard,bicg,2,invalid_code
c,standard,bicg,3,invalid_code
c,standard,bicg,4,invalid_code
c,standard,bicg,5,invalid_code
c,standard,cholesky,1,speedup_under
c,standard,cholesky,2,invalid_code
c,standard,cholesky,3,invalid_code
c,standard,cholesky,4,invalid_code
c,standard,cholesky,5,invalid_code
c,standard,correlation,1,slowdown
c,standard,correlation,2,invalid_code
c,standard,correlation,3,invalid_code
c,standard,correlation,4,invalid_code
c,standard,correlation,5,invalid_code
c,standard,covariance,1,slowdown
c,standard,covariance,2,invalid_code
c,standard,covariance,3,invalid_code
c,standard,covariance,4,invalid_code
c,standard,covariance,5,invalid_code
c,standard,deriche,1,slowdown
c,standard,deriche,2,invalid_code
c,standard,deriche,3,invalid_code
c,standard,deriche,4,invalid_code
c,standard,deriche,5,invalid_code
c,standard,doitgen,1,slowdown
c,standard,doitgen,2,invalid_code
c,standard,doitgen,3,invalid_code
c,standard,doitgen,4,invalid_code
c,standard,doitgen,5,invalid_code
c,standard,durbin,1,slowdown
c,standard,durbin,2,invalid_code
c,standard,durbin,3,invalid_code
c,standard,durbin,4,invalid_code
c,standard,durbin,5,invalid_code
c,standard,fdtd-2d,1,speedup_under
c,standard,fdtd-2d,2,invalid_code
c,standard,fdtd-2d,3,invalid_code
c,standard,fdtd-2d,4,invalid_code
c,standard,fdtd-2d,5,invalid_code
c,standard,floyd-warshall,1,speedup_over
c,standard,floyd-warshall,2,invalid_code
c,standard,floyd-warshall,3,invalid_code
c,standard,floyd-warshall,4,invalid_code
c,standard,floyd-warshall,5,invalid_code
c,standard,gemm,1,speedup_over
c,standard,gemm,2,invalid_code
c,standard,gemm,3,invalid_code
c,standard,gemm,4,invalid_code
c,standard,gemm,5,invalid_code
c,standard,gemver,1,speedup_under
c,standard,gemver,2,invalid_code
c,standard,gemver,3,invalid_code
c,standard,gemver,4,invalid_code
c,standard,gemver,5,invalid_code
c,standard,gesummv,1,slowdown
c,standard,gesummv,2,invalid_code
c,standard,gesummv,3,invalid_code
c,standard,gesummv,4,invalid_code
c,standard,gesummv,5,invalid_code
c,standard,gramschmidt,1,slowdown
c,standard,heat-3d,1,speedup_over
c,standard,heat-3d,2,invalid_code
c,standard,heat-3d,3,invalid_code
c,standard,heat-3d,4,invalid_code
c,standard,heat-3d,5,invalid_code
c,standard,jacobi-1d,1,speedup_over
c,standard,jacobi-1d,2,invalid_code
c,standard,jacobi-1d,3,invalid_code
c,standard,jacobi-1d,4,invalid_code
c,standard,jacobi-1d,5,invalid_code
c,standard,jacobi-2d,1,speedup_over
c,standard,jacobi-2d,2,invalid_code
c,standard,jacobi-2d,3,invalid_code
c,standard,jacobi-2d,4,invalid_code
c,standard,jacobi-2d,5,invalid_code
c,standard,lu,1,speedup_under
c,standard,lu,2,invalid_code
c,standard,lu,3,invalid_code
c,standard,lu,4,invalid_code
c,standard,lu,5,invalid_code
