framework,version,algorithm,category,share_pct,repetitions
c,AllHints,durbin,slowdown,40.0,5
c,AllHints,durbin,speedup_over,20.0,5
c,AllHints,durbin,speedup_under,20.0,5
c,AllHints,fdtd-2d,invalid_algorithm,0.0,5
c,AllHints,fdtd-2d,invalid_code,40.0,5
c,AllHints,fdtd-2d,slowdown,60.0,5
c,AllHints,fdtd-2d,speedup_over,0.0,5
c,AllHints,fdtd-2d,speedup_under,0.0,5
c,AllHints,floyd-warshall,invalid_algorithm,0.0,5
c,AllHints,floyd-warshall,invalid_code,0.0,5
c,AllHints,floyd-warshall,slowdown,0.0,5
c,AllHints,floyd-warshall,speedup_over,100.0,5
c,AllHints,floyd-warshall,speedup_under,0.0,5
c,AllHints,gemm,invalid_algorithm,0.0,5
c,AllHints,gemm,invalid_code,20.0,5
c,AllHints,gemm,slowdown,0.0,5
c,AllHints,gemm,speedup_over,80.0,5
c,AllHints,gemm,speedup_under,0.0,5
c,AllHints,gemver,invalid_algorithm,0.0,5
c,AllHints,gemver,invalid_code,0.0,5
c,AllHints,gemver,slowdown,20.0,5
c,AllHints,gemver,speedup_over,60.0,5
c,AllHints,gemver,speedup_under,20.0,5
c,AllHints,gesummv,invalid_algorithm,0.0,5
c,AllHints,gesummv,invalid_code,0.0,5
c,AllHints,gesummv,slowdown,0.0,5
c,AllHints,gesummv,speedup_over,100.0,5
c,AllHints,gesummv,speedup_under,0.0,5
c,AllHints,gramschmidt,invalid_algorithm,100.0,5
c,AllHints,gramschmidt,invalid_code,0.0,5
c,AllHints,gramschmidt,slowdown,0.0,5
c,AllHints,gramschmidt,speedup_over,0.0,5
c,AllHints,gramschmidt,speedup_under,0.0,5
c,AllHints,heat-3d,invalid_algorithm,0.0,5
c,AllHints,heat-3d,invalid_code,20.0,5
c,AllHints,heat-3d,slowdown,40.0,5
c,AllHints,heat-3d,speedup_over,40.0,5
c,AllHints,heat-3d,speedup_under,0.0,5
c,AllHints,jacobi-1d,invalid_algorithm,0.0,5
c,AllHints,jacobi-1d,invalid_code,20.0,5
c,AllHints,jacobi-1d,slowdown,80.0,5
c,AllHints,jacobi-1d,speedup_over,0.0,5
c,AllHints,jacobi-1d,speedup_under,0.0,5
c,AllHints,jacobi-2d,invalid_algorithm,0.0,5
c,AllHints,jacobi-2d,invalid_code,0.0,5
c,AllHints,jacobi-2d,slowdown,20.0,5
c,AllHints,jacobi-2d,speedup_over,40.0,5
c,AllHints,jacobi-2d,speedup_under,40.0,5
c,AllHints,lu,invalid_algorithm,0.0,5
c,AllHints,lu,invalid_code,0.0,5
c,AllHints,lu,slowdown,20.0,5
c,AllHints,lu,speedup_over,80.0,5
c,AllHints,lu,speedup_under,0.0,5
c,AllHints,ludcmp,invalid_algorithm,0.0,5
c,AllHints,ludcmp,invalid_code,20.0,5
c,AllHints,ludcmp,slowdown,0.0,5
c,AllHints,ludcmp,speedup_over,40.0,5
c,AllHints,ludcmp,speedup_under,40.0,5
c,AllHints,mvt,invalid_algorithm,20.0,5
c,AllHints,mvt,invalid_code,0.0,5
c,AllHints,mvt,slowdown,0.0,5
c,AllHints,mvt,speedup_over,80.0,5
c,AllHints,mvt,speedup_under,0.0,5
c,AllHints,nussinov,invalid_algorithm,0.0,5
c,AllHints,nussinov,invalid_code,40.0,5
c,AllHints,nussinov,slowdown,0.0,5
c,AllHints,nussinov,speedup_over,60.0,5
c,AllHints,nussinov,speedup_under,0.0,5
c,AllHints,seidel-2d,invalid_algorithm,0.0,5
c,AllHints,seidel-2d,invalid_code,0.0,5
c,AllHints,seidel-2d,slowdown,60.0,5
c,AllHints,seidel-2d,speedup_over,40.0,5
c,AllHints,seidel-2d,speedup_under,0.0,5
c,AllHints,symm,invalid_algorithm,0.0,5
c,AllHints,symm,invalid_code,0.0,5
c,AllHints,symm,slowdown,40.0,5
c,AllHints,symm,speedup_over,60.0,5
c,AllHints,symm,speedup_under,0.0,5
c,AllHints,syr2k,invalid_algorithm,0.0,5
c,AllHints,syr2k,invalid_code,0.0,5
c,AllHints,syr2k,slowdown,0.0,5
c,AllHints,syr2k,speedup_over,100.0,5
c,AllHints,syr2k,speedup_under,0.0,5
c,AllHints,syrk,invalid_algorithm,0.0,5
c,AllHints,syrk,invalid_code,0.0,5
c,AllHints,syrk,slowdown,0.0,5
c,AllHints,syrk,speedup_over,100.0,5
c,AllHints,syrk,speedup_under,0.0,5
c,AllHints,trisolv,invalid_algorithm,40.0,5
c,AllHints,trisolv,invalid_code,0.0,5
c,AllHints,trisolv,slowdown,40.0,5
c,AllHints,trisolv,speedup_over,0.0,5
c,AllHints,trisolv,speedup_under,20.0,5
c,AllHints,trmm,invalid_algorithm,0.0,5
c,AllHints,trmm,invalid_code,0.0,5
c,AllHints,trmm,slowdown,0.0,5
c,AllHints,trmm,speedup_over,100.0,5
c,AllHints,trmm,speedup_under,0.0,5
c,ChooseHints,2mm,invalid_algorithm,0.0,5
c,ChooseHints,2mm,invalid_code,0.0,5
c,ChooseHints,2mm,slowdown,0.0,5
c,ChooseHints,2mm,speedup_over,100.0,5
c,ChooseHints,2mm,speedup_under,0.0,5
c,ChooseHints,3mm,invalid_algorithm,0.0,5
c,ChooseHints,3mm,invalid_code,20.0,5
c,ChooseHints,3mm,slowdown,0.0,5
c,ChooseHints,3mm,speedup_over,80.0,5
c,ChooseHints,3mm,speedup_under,0.0,5
c,ChooseHints,adi,invalid_algorithm,0.0,5
c,ChooseHints,adi,invalid_code,20.0,5
c,ChooseHints,adi,slowdown,20.0,5
c,ChooseHints,adi,speedup_over,60.0,5
c,ChooseHints,adi,speedup_under,0.0,5
c,ChooseHints,atax,invalid_algorithm,0.0,5
c,ChooseHints,atax,invalid_code,0.0,5
c,ChooseHints,atax,slowdown,40.0,5
c,ChooseHints,atax,speedup_over,60.0,5
c,ChooseHints,atax,speedup_under,0.0,5
c,ChooseHints,bicg,invalid_algorithm,0.0,5
c,ChooseHints,bicg,invalid_code,0.0,5
c,ChooseHints,bicg,slowdown,0.0,5
c,ChooseHints,bicg,speedup_over,100.0,5
c,ChooseHints,bicg,speedup_under,0.0,5
c,ChooseHints,cholesky,invalid_algorithm,0.0,5
c,ChooseHints,cholesky,invalid_code,40.0,5
c,ChooseHints,cholesky,slowdown,0.0,5
c,ChooseHints,cholesky,speedup_over,0.0,5
c,ChooseHints,cholesky,speedup_under,60.0,5
c,ChooseHints,correlation,invalid_algorithm,0.0,5
c,ChooseHints,correlation,invalid_code,20.0,5
c,ChooseHints,correlation,slowdown,0.0,5
c,ChooseHints,correlation,speedup_over,80.0,5
c,ChooseHints,correlation,speedup_under,0.0,5
c,ChooseHints,covariance,invalid_algorithm,0.0,5
c,ChooseHints,covariance,invalid_code,0.0,5
c,ChooseHints,covariance,slowdown,0.0,5
c,ChooseHints,covariance,speedup_over,100.0,5
c,ChooseHints,covariance,speedup_under,0.0,5
c,ChooseHints,deriche,invalid_algorithm,0.0,5
c,ChooseHints,deriche,invalid_code,0.0,5
c,ChooseHints,deriche,slowdown,20.0,5
c,ChooseHints,deriche,speedup_over,80.0,5
c,ChooseHints,deriche,speedup_under,0.0,5
c,ChooseHints,doitgen,invalid_algorithm,0.0,5
c,ChooseHints,doitgen,invalid_code,0.0,5
c,ChooseHints,doitgen,slowdown,0.0,5
c,ChooseHints,doitgen,speedup_over,100.0,5
c,ChooseHints,doitgen,speedup_under,0.0,5
c,ChooseHints,durbin,invalid_algorithm,0.0,5
c,ChooseHints,durbin,invalid_code,0.0,5
c,ChooseHints,durbin,slowdown,60.0,5
c,ChooseHints,durbin,speedup_over,40.0,5
c,ChooseHints,durbin,speedup_under,0.0,5
c,ChooseHints,fdtd-2d,invalid_algorithm,0.0,5
c,ChooseHints,fdtd-2d,invalid_code,40.0,5
c,ChooseHints,fdtd-2d,slowdown,60.0,5
c,ChooseHints,fdtd-2d,speedup_over,0.0,5
c,ChooseHints,fdtd-2d,speedup_under,0.0,5
c,ChooseHints,floyd-warshall,invalid_algorithm,0.0,5
c,ChooseHints,floyd-warshall,invalid_code,0.0,5
c,ChooseHints,floyd-warshall,slowdown,20.0,5
c,ChooseHints,floyd-warshall,speedup_over,80.0,5
c,ChooseHints,floyd-warshall,speedup_under,0.0,5
c,ChooseHints,gemm,invalid_algorithm,0.0,5
c,ChooseHints,gemm,invalid_code,0.0,5
c,ChooseHints,gemm,slowdown,0.0,5
c,ChooseHints,gemm,speedup_over,100.0,5
c,ChooseHints,gemm,speedup_under,0.0,5
c,ChooseHints,gemver,invalid_algorithm,0.0,5
c,ChooseHints,gemver,invalid_code,0.0,5
c,ChooseHints,gemver,slowdown,20.0,5
c,ChooseHints,gemver,speedup_over,80.0,5
c,ChooseHints,gemver,speedup_under,0.0,5
c,ChooseHints,gesummv,invalid_algorithm,0.0,5
c,ChooseHints,gesummv,invalid_code,0.0,5
c,ChooseHints,gesummv,slowdown,0.0,5
c,ChooseHints,gesummv,speedup_over,100.0,5
c,ChooseHints,gesummv,speedup_under,0.0,5
c,ChooseHints,gramschmidt,invalid_algorithm,40.0,5
c,ChooseHints,gramschmidt,invalid_code,20.0,5
c,ChooseHints,gramschmidt,slowdown,0.0,5
c,ChooseHints,gramschmidt,speedup_over,40.0,5
c,ChooseHints,gramschmidt,speedup_under,0.0,5
c,ChooseHints,heat-3d,invalid_algorithm,0.0,5
c,ChooseHints,heat-3d,invalid_code,0.0,5
c,ChooseHints,heat-3d,slowdown,80.0,5
c,ChooseHints,heat-3d,speedup_over,0.0,5
c,ChooseHints,heat-3d,speedup_under,20.0,5
c,ChooseHints,jacobi-1d,invalid_algorithm,0.0,5
c,ChooseHints,jacobi-1d,invalid_code,20.0,5
c,ChooseHints,jacobi-1d,slowdown,80.0,5
c,ChooseHints,jacobi-1d,speedup_over,0.0,5
c,ChooseHints,jacobi-1d,speedup_under,0.0,5
c,ChooseHints,jacobi-2d,invalid_algorithm,0.0,5
c,ChooseHints,jacobi-2d,invalid_code,0.0,5
c,ChooseHints,jacobi-2d,slowdown,60.0,5
c,ChooseHints,jacobi-2d,speedup_over,40.0,5
c,ChooseHints,jacobi-2d,speedup_under,0.0,5
c,ChooseHints,lu,invalid_algorithm,0.0,5
c,ChooseHints,lu,invalid_code,0.0,5
c,ChooseHints,lu,slowdown,20.0,5
c,ChooseHints,lu,speedup_over,80.0,5
c,ChooseHints,lu,speedup_under,0.0,5
c,ChooseHints,ludcmp,invalid_algorithm,0.0,5
c,ChooseHints,ludcmp,invalid_code,0.0,5
c,ChooseHints,ludcmp,slowdown,80.0,5
c,ChooseHints,ludcmp,speedup_over,20.0,5
c,ChooseHints,ludcmp,speedup_under,0.0,5
c,ChooseHints,mvt,invalid_algorithm,0.0,5
c,ChooseHints,mvt,invalid_code,20.0,5
c,ChooseHints,mvt,slowdown,0.0,5
c,ChooseHints,mvt,speedup_over,60.0,5
c,ChooseHints,mvt,speedup_under,20.0,5
c,ChooseHints,nussinov,invalid_algorithm,0.0,5
c,ChooseHints,nussinov,invalid_code,20.0,5
c,ChooseHints,nussinov,slowdown,0.0,5
c,ChooseHints,nussinov,speedup_over,80.0,5
c,ChooseHints,nussinov,speedup_under,0.0,5
c,ChooseHints,seidel-2d,invalid_algorithm,0.0,5
c,ChooseHints,seidel-2d,invalid_code,0.0,5
c,ChooseHints,seidel-2d,slowdown,40.0,5
c,ChooseHints,seidel-2d,speedup_over,60.0,5
c,ChooseHints,seidel-2d,speedup_under,0.0,5
c,ChooseHints,symm,invalid_algorithm,0.0,5
c,ChooseHints,symm,invalid_code,0.0,5
c,ChooseHints,symm,slowdown,20.0,5
c,ChooseHints,symm,speedup_over,80.0,5
c,ChooseHints,symm,speedup_under,0.0,5
c,ChooseHints,syr2k,invalid_algorithm,0.0,5
c,ChooseHints,syr2k,invalid_code,20.0,5
c,ChooseHints,syr2k,slowdown,0.0,5
c,ChooseHints,syr2k,speedup_over,80.0,5
c,ChooseHints,syr2k,speedup_under,0.0,5
c,ChooseHints,syrk,invalid_algorithm,0.0,5
c,ChooseHints,syrk,invalid_code,0.0,5
c,ChooseHints,syrk,slowdown,0.0,5
c,ChooseHints,syrk,speedup_over,100.0,5
c,ChooseHints,syrk,speedup_under,0.0,5
c,ChooseHints,trisolv,invalid_algorithm,60.0,5
c,ChooseHints,trisolv,invalid_code,0.0,5
c,ChooseHints,trisolv,slowdown,40.0,5
c,ChooseHints,trisolv,speedup_over,0.0,5
c,ChooseHints,trisolv,speedup_under,0.0,5
c,ChooseHints,trmm,invalid_algorithm,0.0,5
c,ChooseHints,trmm,invalid_code,0.0,5
c,ChooseHints,trmm,slowdown,0.0,5
c,ChooseHints,trmm,speedup_over,100.0,5
c,ChooseHints,trmm,speedup_under,0.0,5
c,FromPlan,2mm,invalid_algorithm,0.0,5
c,FromPlan,2mm,invalid_code,0.0,5
c,FromPlan,2mm,slowdown,0.0,5
c,FromPlan,2mm,speedup_over,100.0,5
c,FromPlan,2mm,speedup_under,0.0,5
c,FromPlan,3mm,invalid_algorithm,0.0,5
c,FromPlan,3mm,invalid_code,0.0,5
c,FromPlan,3mm,slowdown,0.0,5
c,FromPlan,3mm,speedup_over,100.0,5
c,FromPlan,3mm,speedup_under,0.0,5
c,FromPlan,adi,invalid_algorithm,0.0,5
c,FromPlan,adi,invalid_code,0.0,5
c,FromPlan,adi,slowdown,0.0,5
c,FromPlan,adi,speedup_over,100.0,5
c,FromPlan,adi,speedup_under,0.0,5
c,FromPlan,atax,invalid_algorithm,0.0,5
c,FromPlan,atax,invalid_code,20.0,5
c,FromPlan,atax,slowdown,0.0,5
c,FromPlan,atax,speedup_over,20.0,5
c,FromPlan,atax,speedup_under,60.0,5
c,FromPlan,bicg,invalid_algorithm,0.0,5
c,FromPlan,bicg,invalid_code,0.0,5
c,FromPlan,bicg,slowdown,0.0,5
c,FromPlan,bicg,speedup_over,100.0,5
c,FromPlan,bicg,speedup_under,0.0,5
c,FromPlan,cholesky,invalid_algorithm,0.0,5
c,FromPlan,cholesky,invalid_code,0.0,5
c,FromPlan,cholesky,slowdown,0.0,5
c,FromPlan,cholesky,speedup_over,60.0,5
c,FromPlan,cholesky,speedup_under,40.0,5
c,FromPlan,correlation,invalid_algorithm,0.0,5
c,FromPlan,correlation,invalid_code,0.0,5
c,FromPlan,correlation,slowdown,0.0,5
c,FromPlan,correlation,speedup_over,100.0,5
c,FromPlan,correlation,speedup_under,0.0,5
c,FromPlan,covariance,invalid_algorithm,0.0,5
c,FromPlan,covariance,invalid_code,0.0,5
c,FromPlan,covariance,slowdown,0.0,5
c,FromPlan,covariance,speedup_over,100.0,5
c,FromPlan,covariance,speedup_under,0.0,5
c,FromPlan,deriche,invalid_algorithm,0.0,5
c,FromPlan,deriche,invalid_code,0.0,5
c,FromPlan,deriche,slowdown,0.0,5
c,FromPlan,deriche,speedup_over,100.0,5
c,FromPlan,deriche,speedup_under,0.0,5
c,FromPlan,doitgen,invalid_algorithm,0.0,5
c,FromPlan,doitgen,invalid_code,0.0,5
c,FromPlan,doitgen,slowdown,0.0,5
c,FromPlan,doitgen,speedup_over,100.0,5
c,FromPlan,doitgen,speedup_under,0.0,5
c,FromPlan,durbin,invalid_algorithm,0.0,5
c,FromPlan,durbin,invalid_code,0.0,5
c,FromPlan,durbin,slowdown,0.0,5
c,FromPlan,durbin,speedup_over,80.0,5
c,FromPlan,durbin,speedup_under,20.0,5
c,FromPlan,fdtd-2d,invalid_algorithm,0.0,5
c,FromPlan,fdtd-2d,invalid_code,20.0,5
c,FromPlan,fdtd-2d,slowdown,60.0,5
c,FromPlan,fdtd-2d,speedup_over,0.0,5
c,FromPlan,fdtd-2d,speedup_under,20.0,5
c,FromPlan,floyd-warshall,invalid_algorithm,0.0,5
c,FromPlan,floyd-warshall,invalid_code,0.0,5
c,FromPlan,floyd-warshall,slowdown,0.0,5
c,FromPlan,floyd-warshall,speedup_over,100.0,5
c,FromPlan,floyd-warshall,speedup_under,0.0,5
c,FromPlan,gemm,invalid_algorithm,0.0,5
c,FromPlan,gemm,invalid_code,20.0,5
c,FromPlan,gemm,slowdown,0.0,5
c,FromPlan,gemm,speedup_over,80.0,5
c,FromPlan,gemm,speedup_under,0.0,5
c,FromPlan,gemver,invalid_algorithm,0.0,5
c,FromPlan,gemver,invalid_code,20.0,5
c,FromPlan,gemver,slowdown,0.0,5
c,FromPlan,gemver,speedup_over,80.0,5
c,FromPlan,gemver,speedup_under,0.0,5
c,FromPlan,gesummv,invalid_algorithm,0.0,5
c,FromPlan,gesummv,invalid_code,0.0,5
c,FromPlan,gesummv,slowdown,0.0,5
c,FromPlan,gesummv,speedup_over,100.0,5
c,FromPlan,gesummv,speedup_under,0.0,5
c,FromPlan,gramschmidt,invalid_algorithm,100.0,5
c,FromPlan,gramschmidt,invalid_code,0.0,5
c,FromPlan,gramschmidt,slowdown,0.0,5
c,FromPlan,gramschmidt,speedup_over,0.0,5
c,FromPlan,gramschmidt,speedup_under,0.0,5
c,FromPlan,heat-3d,invalid_algorithm,0.0,5
c,FromPlan,heat-3d,invalid_code,0.0,5
c,FromPlan,heat-3d,slowdown,100.0,5
c,FromPlan,heat-3d,speedup_over,0.0,5
c,FromPlan,heat-3d,speedup_under,0.0,5
c,FromPlan,jacobi-1d,invalid_algorithm,0.0,5
c,FromPlan,jacobi-1d,invalid_code,20.0,5
c,FromPlan,jacobi-1d,slowdown,80.0,5
c,FromPlan,jacobi-1d,speedup_over,0.0,5
c,FromPlan,jacobi-1d,speedup_under,0.0,5
c,FromPlan,jacobi-2d,invalid_algorithm,0.0,5
c,FromPlan,jacobi-2d,invalid_code,0.0,5
c,FromPlan,jacobi-2d,slowdown,80.0,5
c,FromPlan,jacobi-2d,speedup_over,20.0,5
c,FromPlan,jacobi-2d,speedup_under,0.0,5
c,FromPlan,lu,invalid_algorithm,0.0,5
c,FromPlan,lu,invalid_code,0.0,5
c,FromPlan,lu,slowdown,20.0,5
c,FromPlan,lu,speedup_over,60.0,5
c,FromPlan,lu,speedup_under,20.0,5
c,FromPlan,ludcmp,invalid_algorithm,0.0,5
c,FromPlan,ludcmp,invalid_code,20.0,5
c,FromPlan,ludcmp,slowdown,0.0,5
c,FromPlan,ludcmp,speedup_over,80.0,5
c,FromPlan,ludcmp,speedup_under,0.0,5
c,FromPlan,mvt,invalid_algorithm,0.0,5
c,FromPlan,mvt,invalid_code,0.0,5
c,FromPlan,mvt,slowdown,0.0,5
c,FromPlan,mvt,speedup_over,100.0,5
c,FromPlan,mvt,speedup_under,0.0,5
c,FromPlan,nussinov,invalid_algorithm,0.0,5
c,FromPlan,nussinov,invalid_code,20.0,5
c,FromPlan,nussinov,slowdown,0.0,5
c,FromPlan,nussinov,speedup_over,80.0,5
c,FromPlan,nussinov,speedup_under,0.0,5
c,FromPlan,seidel-2d,invalid_algorithm,0.0,5
c,FromPlan,seidel-2d,invalid_code,0.0,5
c,FromPlan,seidel-2d,slowdown,0.0,5
c,FromPlan,seidel-2d,speedup_over,100.0,5
c,FromPlan,seidel-2d,speedup_under,0.0,5
c,FromPlan,symm,invalid_algorithm,0.0,5
c,FromPlan,symm,invalid_code,0.0,5
c,FromPlan,symm,slowdown,0.0,5
c,FromPlan,symm,speedup_over,100.0,5
c,FromPlan,symm,speedup_under,0.0,5
c,FromPlan,syr2k,invalid_algorithm,0.0,5
c,FromPlan,syr2k,invalid_code,20.0,5
c,FromPlan,syr2k,slowdown,0.0,5
c,FromPlan,syr2k,speedup_over,80.0,5
c,FromPlan,syr2k,speedup_under,0.0,5
c,FromPlan,syrk,invalid_algorithm,0.0,5
c,FromPlan,syrk,invalid_code,0.0,5
c,FromPlan,syrk,slowdown,40.0,5
c,FromPlan,syrk,speedup_over,60.0,5
c,FromPlan,syrk,speedup_under,0.0,5
c,FromPlan,trisolv,invalid_algorithm,0.0,5
c,FromPlan,trisolv,invalid_code,0.0,5
c,FromPlan,trisolv,slowdown,40.0,5
c,FromPlan,trisolv,speedup_over,60.0,5
c,FromPlan,trisolv,speedup_under,0.0,5
c,FromPlan,trmm,invalid_algorithm,0.0,5
c,FromPlan,trmm,invalid_code,0.0,5
c,FromPlan,trmm,slowdown,0.0,5
c,FromPlan,trmm,speedup_over,100.0,5
c,FromPlan,trmm,speedup_under,0.0,5
c,Naive,2mm,invalid_algorithm,0.0,5
c,Naive,2mm,invalid_code,0.0,5
c,Naive,2mm,slowdown,0.0,5
c,Naive,2mm,speedup_over,100.0,5
c,Naive,2mm,speedup_under,0.0,5
c,Naive,3mm,invalid_algorithm,0.0,5
c,Naive,3mm,invalid_code,0.0,5
c,Naive,3mm,slowdown,0.0,5
c,Naive,3mm,speedup_over,100.0,5
c,Naive,3mm,speedup_under,0.0,5
c,Naive,adi,invalid_algorithm,0.0,5
c,Naive,adi,invalid_code,0.0,5
c,Naive,adi,slowdown,20.0,5
c,Naive,adi,speedup_over,60.0,5
c,Naive,adi,speedup_under,20.0,5
c,Naive,atax,invalid_algorithm,0.0,5
c,Naive,atax,invalid_code,20.0,5
c,Naive,atax,slowdown,0.0,5
c,Naive,atax,speedup_over,20.0,5
c,Naive,atax,speedup_under,60.0,5
c,Naive,bicg,invalid_algorithm,0.0,5
c,Naive,bicg,invalid_code,0.0,5
c,Naive,bicg,slowdown,0.0,5
c,Naive,bicg,speedup_over,100.0,5
c,Naive,bicg,speedup_under,0.0,5
c,Naive,cholesky,invalid_algorithm,0.0,5
c,Naive,cholesky,invalid_code,0.0,5
c,Naive,cholesky,slowdown,0.0,5
c,Naive,cholesky,speedup_over,0.0,5
c,Naive,cholesky,speedup_under,100.0,5
c,Naive,correlation,invalid_algorithm,0.0,5
c,Naive,correlation,invalid_code,0.0,5
c,Naive,correlation,slowdown,0.0,5
c,Naive,correlation,speedup_over,100.0,5
c,Naive,correlation,speedup_under,0.0,5
c,Naive,covariance,invalid_algorithm,0.0,5
c,Naive,covariance,invalid_code,0.0,5
c,Naive,covariance,slowdown,0.0,5
c,Naive,covariance,speedup_over,100.0,5
c,Naive,covariance,speedup_under,0.0,5
c,Naive,deriche,invalid_algorithm,0.0,5
c,Naive,deriche,invalid_code,0.0,5
c,Naive,deriche,slowdown,60.0,5
c,Naive,deriche,speedup_over,40.0,5
c,Naive,deriche,speedup_under,0.0,5
c,Naive,doitgen,invalid_algorithm,0.0,5
c,Naive,doitgen,invalid_code,0.0,5
c,Naive,doitgen,slowdown,0.0,5
c,Naive,doitgen,speedup_over,100.0,5
c,Naive,doitgen,speedup_under,0.0,5
c,Naive,durbin,invalid_algorithm,0.0,5
c,Naive,durbin,invalid_code,0.0,5
c,Naive,durbin,slowdown,20.0,5
c,Naive,durbin,speedup_over,40.0,5
c,Naive,durbin,speedup_under,40.0,5
c,Naive,fdtd-2d,invalid_algorithm,0.0,5
c,Naive,fdtd-2d,invalid_code,0.0,5
c,Naive,fdtd-2d,slowdown,20.0,5
c,Naive,fdtd-2d,speedup_over,40.0,5
c,Naive,fdtd-2d,speedup_under,40.0,5
c,Naive,floyd-warshall,invalid_algorithm,0.0,5
c,Naive,floyd-warshall,invalid_code,0.0,5
c,Naive,floyd-warshall,slowdown,20.0,5
c,Naive,floyd-warshall,speedup_over,80.0,5
c,Naive,floyd-warshall,speedup_under,0.0,5
c,Naive,gemm,invalid_algorithm,0.0,5
c,Naive,gemm,invalid_code,0.0,5
c,Naive,gemm,slowdown,40.0,5
c,Naive,gemm,speedup_over,40.0,5
c,Naive,gemm,speedup_under,20.0,5
c,Naive,gemver,invalid_algorithm,0.0,5
c,Naive,gemver,invalid_code,0.0,5
c,Naive,gemver,slowdown,0.0,5
c,Naive,gemver,speedup_over,100.0,5
c,Naive,gemver,speedup_under,0.0,5
c,Naive,gesummv,invalid_algorithm,0.0,5
c,Naive,gesummv,invalid_code,0.0,5
c,Naive,gesummv,slowdown,0.0,5
c,Naive,gesummv,speedup_over,100.0,5
c,Naive,gesummv,speedup_under,0.0,5
c,Naive,gramschmidt,invalid_algorithm,80.0,5
c,Naive,gramschmidt,invalid_code,0.0,5
c,Naive,gramschmidt,slowdown,0.0,5
c,Naive,gramschmidt,speedup_over,20.0,5
c,Naive,gramschmidt,speedup_under,0.0,5
c,Naive,heat-3d,invalid_algorithm,0.0,5
c,Naive,heat-3d,invalid_code,20.0,5
c,Naive,heat-3d,slowdown,80.0,5
c,Naive,heat-3d,speedup_over,0.0,5
c,Naive,heat-3d,speedup_under,0.0,5
c,Naive,jacobi-1d,invalid_algorithm,0.0,5
c,Naive,jacobi-1d,invalid_code,20.0,5
c,Naive,jacobi-1d,slowdown,20.0,5
c,Naive,jacobi-1d,speedup_over,0.0,5
c,Naive,jacobi-1d,speedup_under,60.0,5
c,Naive,jacobi-2d,invalid_algorithm,0.0,5
c,Naive,jacobi-2d,invalid_code,20.0,5
c,Naive,jacobi-2d,slowdown,20.0,5
c,Naive,jacobi-2d,speedup_over,0.0,5
c,Naive,jacobi-2d,speedup_under,60.0,5
c,Naive,lu,invalid_algorithm,0.0,5
c,Naive,lu,invalid_code,0.0,5
c,Naive,lu,slowdown,0.0,5
c,Naive,lu,speedup_over,100.0,5
c,Naive,lu,speedup_under,0.0,5
c,Naive,ludcmp,invalid_algorithm,20.0,5
c,Naive,ludcmp,invalid_code,20.0,5
c,Naive,ludcmp,slowdown,20.0,5
c,Naive,ludcmp,speedup_over,20.0,5
